sector,code,name,price_now,close_latest,pct_120d,pct_60d,trend,ma_order,dist_ma20_pct,dist_ma60_pct,bb_pos_pct,rsi14,atr_pct,vol_ratio,entry_low,entry_high,entry_aggressive,risk_level,risk_reasons,supports,entry_discount
PCB产业链,002384,东山精密,273,273,100,100,强上升,bullish,21.2,48.8,115.2,66.7,6.86,0,187.1,264.81,198.13,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=225.29 | MA40=213.30 | MA60=183.43 | BB下轨=188.69,31.5
PCB产业链,002463,沪电股份,147.9,147.9,100,100,强上升,bullish,11.6,38,96.1,59.4,7.68,0,109.35,143.46,121.63,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=132.52 | MA40=118.61 | MA60=107.20 | BB下轨=115.84,26.1
PCB产业链,002741,光华科技,41.3,41.3,100,100,上升,bullish,37.8,76.4,116.6,76.9,5.74,0,23.88,40.06,22.55,高,近120日高位; 远离MA20; RSI超买; 接近20日高点; 极度缩量; 高波动,MA20=29.98 | MA40=26.05 | MA60=23.42 | BB下轨=21.47,42.2
PCB产业链,002916,深南电路,453.8,453.8,100,100,强上升,bullish,14.5,41.8,114.9,59.4,6.79,0,326.38,440.19,369.45,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=396.24 | MA40=358.10 | MA60=319.98 | BB下轨=351.86,28.1
PCB产业链,002938,鹏鼎控股,119.91,119.91,100,100,强上升,bullish,9.5,47.3,98.5,61.8,8.14,0,83.01,116.31,103.64,高,近120日高位; 极度缩量; 高波动,MA20=109.46 | MA40=94.74 | MA60=81.39 | BB下轨=98.70,30.8
PCB产业链,600183,生益科技,183.87,183.87,100,100,上升,bullish,26.8,90.8,99,79.2,7.13,0,98.27,178.35,110.47,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=144.95 | MA40=114.83 | MA60=96.34 | BB下轨=105.21,46.6
PCB产业链,603186,华正新材,238.11,238.11,100,100,上升,bullish,56.9,131.9,108.5,89,6.24,0,104.72,230.97,81.96,高,近120日高位; 远离MA20; RSI超买; 接近20日高点; 极度缩量; 高波动,MA20=151.80 | MA40=120.55 | MA60=102.67 | BB下轨=78.06,56
光通信,601869,长飞光纤,471.55,471.55,96.6,95.3,强上升,bullish,10.9,24.1,79.8,63,7.89,0,387.69,457.4,364.69,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=425.19 | MA40=406.06 | MA60=380.09 | BB下轨=347.32,17.8
光通信,600487,亨通光电,111.01,111.01,100,100,上升,bullish,22.5,55,83.7,77.5,7.46,0,73.06,107.68,63.32,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=90.59 | MA40=80.91 | MA60=71.63 | BB下轨=60.31,34.2
光通信,600522,中天科技,56.55,56.55,100,100,上升,bullish,20.7,48.1,93.7,72.6,7.56,0,38.96,54.85,37.59,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=46.87 | MA40=42.92 | MA60=38.19 | BB下轨=35.80,31.1
