keyword,count_recent,count_prior,trend,stock_codes,stock_names,sectors
存储封测,3,0,🆕集中冒出,000021|600584,长电科技|深科技,公告|半导体
对位芳纶(光纤,2,0,🆕集中冒出,002254,泰和新材,光通信
海工装备,2,0,🆕集中冒出,002427|601798,蓝科高新|尤夫股份,其他|公告
含硫硅烷偶联剂(有机硅,2,0,🆕集中冒出,605366,宏柏新材,光通信
四氯化硅(光纤上游,2,0,🆕集中冒出,603938|600596,三孚股份|新安股份,光通信
玻纤织机,1,0,🆕集中冒出,002520,日发精机,PCB
电容纸,1,0,🆕集中冒出,603733,仙鹤股份,AI硬件
电池材料,1,0,🆕集中冒出,600516,方大炭素,数据中心散热
电子浸没冷却液,1,0,🆕集中冒出,605020,永和股份,美伊战争
电池钢壳,1,0,🆕集中冒出,002787,华源控股,半导体
电源管理模拟芯片,1,0,🆕集中冒出,688381,帝奥微,光通信
植物基产品,1,0,🆕集中冒出,605300,佳禾食品,大消费
民爆,1,0,🆕集中冒出,002497,雅化集团,锂电池
模拟芯片(光模块上游,1,0,🆕集中冒出,688381,帝奥微,光通信
核辐射防治,1,0,🆕集中冒出,002980,华盛昌,光通信
林木,1,0,🆕集中冒出,002240,盛新锂能,锂电池
机器人(仿生肌肉,1,0,🆕集中冒出,300819,聚杰微纤,PCB
服务器液冷,1,0,🆕集中冒出,002600,领益智造,数据中心散热
法拉第旋光片在研,1,0,🆕集中冒出,600184,光电股份,光通信
流感治疗(海南,1,0,🆕集中冒出,000566,海南海药,医疗医药
玻璃基板设备,1,0,🆕集中冒出,603800,洪田股份,PCB
烟草,1,0,🆕集中冒出,603733,仙鹤股份,AI硬件
火锅,1,0,🆕集中冒出,603317,天味食品,公告
激光雷达核心部件,1,0,🆕集中冒出,603297,永新光学,半导体
游戏出海,1,0,🆕集中冒出,002558,巨人网络,算力
游戏IP,1,0,🆕集中冒出,002558,巨人网络,算力
清洁机器人,1,0,🆕集中冒出,000967,盈峰环境,算力租赁
涤纶工业丝,1,0,🆕集中冒出,002427,尤夫股份,其他
海外拓展,1,0,🆕集中冒出,688376,美埃科技,半导体
石英布(斗山,1,0,🆕集中冒出,001359,平安电工,PCB
石药控股入主,1,0,🆕集中冒出,000908,ST景峰,医疗医药
碳化硅设备,1,0,🆕集中冒出,002943,宇晶股份,半导体
锂电池铜带,1,0,🆕集中冒出,603527,众源新材,PCB
锂电正极材料,1,0,🆕集中冒出,002192,融捷股份,锂电池
锂电导导电炭黑,1,0,🆕集中冒出,002068,黑猫股份,被动元件
铌酸锂晶体,1,0,🆕集中冒出,600330,天通股份,光通信
钙钛矿电池,1,0,🆕集中冒出,605598,上海港湾,商业航天
钙钛矿,1,0,🆕集中冒出,688669,聚石化学,半导体
金属钽(钽电容,1,0,🆕集中冒出,000962,东方钽业,被动元件
量子传感器,1,0,🆕集中冒出,002980,华盛昌,光通信
进出口贸易,1,0,🆕集中冒出,600668,尖峰集团,其他
轮胎特种材料,1,0,🆕集中冒出,603650,彤程新材,半导体
长征10号乙,1,0,🆕集中冒出,603698,航天工程,商业航天
高压组合电器,1,0,🆕集中冒出,002452,长高电新,其他
高速高频线缆料,1,0,🆕集中冒出,605020,永和股份,美伊战争
高速铜缆连接线(戴尔,1,0,🆕集中冒出,605277,新亚电子,AI硬件
高速铜缆连接,1,0,🆕集中冒出,301310,鑫宏业,机器人
高速光模块,1,0,🆕集中冒出,002025,航天电器,光通信
高速互联芯片,1,0,🆕集中冒出,000925,众合科技,光通信
高端电解纸(AI服务器,1,0,🆕集中冒出,603733,仙鹤股份,AI硬件
高多层HDI,1,0,🆕集中冒出,603386,骏亚科技,PCB
间接持股长鑫科技,1,0,🆕集中冒出,600909,华安证券,其他
间接客户甲骨文,1,0,🆕集中冒出,605277,新亚电子,AI硬件
间接供货比亚迪,1,0,🆕集中冒出,603297,永新光学,半导体
长鑫供应商,1,0,🆕集中冒出,000021,深科技,半导体
长鑫产业链,1,0,🆕集中冒出,601133,柏诚股份,半导体
车路协同,1,0,🆕集中冒出,301132,满坤科技,PCB
车联网,1,0,🆕集中冒出,300506,ST名家汇,其他
航天粉煤,1,0,🆕集中冒出,603698,航天工程,商业航天
航天一院,1,0,🆕集中冒出,603698,航天工程,商业航天
航天UHMWPE,1,0,🆕集中冒出,002427,尤夫股份,其他
腱绳,1,0,🆕集中冒出,002427,尤夫股份,其他
股东回馈,1,0,🆕集中冒出,605300,佳禾食品,大消费
肝素,1,0,🆕集中冒出,002550,千红制药,医疗医药
网传华为昇腾,1,0,🆕集中冒出,002897,意华股份,AI硬件
航季新开线,1,0,🆕集中冒出,002928,华夏航空,大消费
粉末油脂(下游奶茶,1,0,🆕集中冒出,605300,佳禾食品,大消费
筹划发行H股,1,0,🆕集中冒出,603650,彤程新材,半导体
第一大股东变更(湖北省国资,1,0,🆕集中冒出,000783,长江证券,其他
稳定币结算,1,0,🆕集中冒出,002803,吉宏股份,美伊战争
航空客运,1,0,🆕集中冒出,002928,华夏航空,大消费
超自然行动组,1,0,🆕集中冒出,002558,巨人网络,算力
设立新公司(光模块,1,0,🆕集中冒出,002787,华源控股,半导体
覆铜板阻燃剂,1,0,🆕集中冒出,603010,万盛股份,PCB
被动元件分销,1,0,🆕集中冒出,920249,利尔达,被动元件
薄膜铌酸锂调制器,1,0,🆕集中冒出,600877,电科芯片,商业航天
荣耀卫星芯片,1,0,🆕集中冒出,600877,电科芯片,商业航天
苹果汁,1,0,🆕集中冒出,600962,国投中鲁,半导体
苹果功能材料,1,0,🆕集中冒出,688093,XD世华科,PCB
芯片测试设备,1,0,🆕集中冒出,603061,金海通,半导体
芯片处理器,1,0,🆕集中冒出,300223,北京君正,存储
芯片业务,1,0,🆕集中冒出,920249,利尔达,被动元件
智能算力集群建设,1,0,🆕集中冒出,301396,宏景科技,算力租赁
供货新凯来,1,0,🆕集中冒出,603690,至纯科技,半导体
光学材料,1,0,🆕集中冒出,688093,XD世华科,PCB
储能变流器,1,0,🆕集中冒出,603063,禾望电气,AI硬件
储能BMS,1,0,🆕集中冒出,301366,一博科技,其他
偏光片,1,0,🆕集中冒出,002876,三利谱,其他
供货长鑫,1,0,🆕集中冒出,603690,至纯科技,半导体
供货宇树,1,0,🆕集中冒出,688381,帝奥微,光通信
供应处理,1,0,🆕集中冒出,603045,福达合金,AI硬件
人形机器人(灵巧手,1,0,🆕集中冒出,002965,祥鑫科技,公告
人形机器人(智元,1,0,🆕集中冒出,002600,领益智造,数据中心散热
人形机器人(数控螺纹磨床,1,0,🆕集中冒出,002520,日发精机,PCB
云算力(庆阳,1,0,🆕集中冒出,000925,众合科技,光通信
半导体清洗设备,1,0,🆕集中冒出,603690,至纯科技,半导体
原油运输,1,0,🆕集中冒出,601872,招商轮船,美伊战争
卫星玻璃(切割设备,1,0,🆕集中冒出,002943,宇晶股份,半导体
卫星,1,0,🆕集中冒出,603386,骏亚科技,PCB
华为核心供应商,1,0,🆕集中冒出,000021,深科技,半导体
半导体超洁净装备,1,0,🆕集中冒出,688376,美埃科技,半导体
半导体级PFA,1,0,🆕集中冒出,605020,永和股份,美伊战争
光隔离器,1,0,🆕集中冒出,600184,光电股份,光通信
半导体分销,1,0,🆕集中冒出,300650,太龙股份,存储
医药业务,1,0,🆕集中冒出,600668,尖峰集团,其他
化工供应链综合服务,1,0,🆕集中冒出,603713,密尔克卫,其他
制冷剂,1,0,🆕集中冒出,605020,永和股份,美伊战争
军工(电容器,1,0,🆕集中冒出,603267,鸿远电子,被动元件
二手车销售,1,0,🆕集中冒出,605151,西上海,其他
中字头(央企,1,0,🆕集中冒出,002051,中工国际,美伊战争
LNG保温板,1,0,🆕集中冒出,002409,雅克科技,半导体
IDC电源,1,0,🆕集中冒出,002518,科士达,数据中心散热
EEPROM芯片,1,0,🆕集中冒出,688123,聚辰股份,半导体
AMD供应商,1,0,🆕集中冒出,603061,金海通,半导体
AI推理服务器(华为,1,0,🆕集中冒出,000034,神州数码,算力
AI导购智能体,1,0,🆕集中冒出,600228,*ST返利,公告
AI基础设施布局,1,0,🆕集中冒出,002558,巨人网络,算力
AI可信数据空间(央企,1,0,🆕集中冒出,000032,深桑达Ａ,半导体
ABF膜(封装基板材料,1,0,🆕集中冒出,600186,莲花控股,半导体
MCU涨价,1,0,🆕集中冒出,688380,中微半导,存储
三乙胺(VC上游,1,0,🆕集中冒出,603948,建业股份,锂电池
TAC膜国产化,1,0,🆕集中冒出,002876,三利谱,其他
PPO树脂(传,1,0,🆕集中冒出,600579,中化装备,PCB
PCIe5.0交换芯片,1,0,🆕集中冒出,600246,万通发展,半导体
PCB铜箔设备,1,0,🆕集中冒出,603800,洪田股份,PCB
PCB(服务器电源,1,0,🆕集中冒出,301132,满坤科技,PCB
OLED面板封装,1,0,🆕集中冒出,002643,万润股份,半导体
MicroLED光互连,1,0,🆕集中冒出,688593,新相微,半导体
可转债扩产,1,0,🆕集中冒出,603061,金海通,半导体
拟购买服务器及配套设备,1,0,🆕集中冒出,001339,智微智能,算力租赁
拟收购贵州贡岩气,1,0,🆕集中冒出,600903,贵州燃气,半导体
拟收购坛坛香食品,1,0,🆕集中冒出,603317,天味食品,公告
拟收购中国电子院(洁净室,1,0,🆕集中冒出,600962,国投中鲁,半导体
拟投建锂电池负极材料项目,1,0,🆕集中冒出,002192,融捷股份,锂电池
感光干膜,1,0,🆕集中冒出,688093,XD世华科,PCB
拟参与杉杉集团重整招募,1,0,🆕集中冒出,600516,方大炭素,数据中心散热
拟78亿元建设先进封测工厂,1,0,🆕集中冒出,600584,长电科技,公告
抛光垫,1,0,🆕集中冒出,603650,彤程新材,半导体
投资电池项目,1,0,🆕集中冒出,600152,维科技术,其他
投资宇树,1,0,🆕集中冒出,002787,华源控股,半导体
投建高阶HDI,1,0,🆕集中冒出,603459,红板科技,公告
224G高速连接器,1,0,🆕集中冒出,002025,航天电器,光通信
撤销退市风险警示,1,0,🆕集中冒出,600228,*ST返利,公告
支线航空,1,0,🆕集中冒出,002928,华夏航空,大消费
智慧物流(上海,1,0,🆕集中冒出,605151,西上海,其他
智慧灯杆,1,0,🆕集中冒出,300650,太龙股份,存储
智慧城市,1,0,🆕集中冒出,300506,ST名家汇,其他
显示芯片,1,0,🆕集中冒出,688593,新相微,半导体
显示屏幕,1,0,🆕集中冒出,002387,维信诺,半导体
无迹折叠屏,1,0,🆕集中冒出,002387,维信诺,半导体
无人驾驶环卫车,1,0,🆕集中冒出,000967,盈峰环境,算力租赁
数模和模拟芯片,1,0,🆕集中冒出,688380,中微半导,存储
数据中心电源(UPS,1,0,🆕集中冒出,002580,圣阳股份,数据中心散热
数据中心(HVDC,1,0,🆕集中冒出,002364,中恒电气,AI硬件
改性塑料,1,0,🆕集中冒出,688669,聚石化学,半导体
收购酷尔芯,1,0,🆕集中冒出,002965,祥鑫科技,公告
收购伽蓝特(光模块,1,0,🆕集中冒出,002980,华盛昌,光通信
可转债获批,1,0,🆕集中冒出,002550,千红制药,医疗医药
塑料防盗瓶盖,1,0,🆕集中冒出,003018,金富科技,数据中心散热
基建(伊朗,1,0,🆕集中冒出,002051,中工国际,美伊战争
固态电池(硫化锂新工艺,1,0,🆕集中冒出,002497,雅化集团,锂电池
四氯化锗(光纤,1,0,🆕集中冒出,600497,驰宏锌锗,光通信
四氯化硅(光纤,1,0,🆕集中冒出,605366,宏柏新材,光通信
四川,1,0,🆕集中冒出,002497,雅化集团,锂电池
啤酒拉环盖,1,0,🆕集中冒出,003018,金富科技,数据中心散热
咖啡等,1,0,🆕集中冒出,605300,佳禾食品,大消费
咖啡产品,1,0,🆕集中冒出,605300,佳禾食品,大消费
合作地平线,1,0,🆕集中冒出,920249,利尔达,被动元件
司法拍卖,1,0,🆕集中冒出,000908,ST景峰,医疗医药
复合调味品,1,0,🆕集中冒出,603317,天味食品,公告
复合铜铝箔设备,1,0,🆕集中冒出,603800,洪田股份,PCB
外卖包装,1,0,🆕集中冒出,002803,吉宏股份,美伊战争
外延并购,1,0,🆕集中冒出,603317,天味食品,公告
座椅盖板,1,0,🆕集中冒出,605151,西上海,其他
并购预期,1,0,🆕集中冒出,600909,华安证券,其他
并购贷款落地,1,0,🆕集中冒出,003018,金富科技,数据中心散热
干散货运输,1,0,🆕集中冒出,601872,招商轮船,美伊战争
岩土工程综合服务(西南水电,1,0,🆕集中冒出,605598,上海港湾,商业航天
定增,1,0,🆕集中冒出,600152,维科技术,其他
安费诺,1,0,🆕集中冒出,605277,新亚电子,AI硬件
宁德时代拟入股,1,0,🆕集中冒出,002364,中恒电气,AI硬件
存力,1,0,🆕集中冒出,603019,中科曙光,算力
存储设备,1,0,🆕集中冒出,603061,金海通,半导体
存储(供应长鑫,1,0,🆕集中冒出,603459,红板科技,公告
太空用芯片,1,0,🆕集中冒出,300223,北京君正,存储
