日期,排名,代码,名称,T日价,评分,T+1,T+2,T+3,T+4,T+5
2026-02-10,1,002009,天奇股份,33.69,81.0,-4.48%,-3.83%,+5.79%,+6.47%,-1.37%
2026-02-10,2,603058,永吉股份,13.53,79.9,-2.44%,-3.55%,-5.40%,-5.99%,-3.84%
2026-02-10,3,603629,利通电子,51.93,78.4,+9.99%,+15.46%,+10.67%,+7.53%,+3.41%
2026-02-10,4,000592,平潭发展,11.1,78.4,-2.34%,-5.77%,-4.50%,-1.53%,-0.63%
2026-02-10,5,002150,正泰电源,28.04,78.4,+2.43%,+3.64%,+1.00%,+1.96%,-4.56%
2026-02-11,1,002009,天奇股份,32.18,81.0,+0.68%,+10.75%,+11.47%,+3.26%,-3.48%
2026-02-11,2,603608,天创时尚,11.5,79.9,-1.83%,-4.70%,-3.91%,-2.96%,-0.17%
2026-02-11,3,603058,永吉股份,13.2,79.9,-1.14%,-3.03%,-3.64%,-1.44%,+0.45%
2026-02-11,4,002150,正泰电源,28.72,78.4,+1.18%,-1.39%,-0.45%,-6.82%,-4.74%
2026-02-11,5,603331,百达精工,17.78,78.4,+1.24%,+11.36%,+19.80%,+12.77%,+5.68%
2026-02-12,1,002208,合肥城建,15.58,80.9,-0.13%,+6.03%,+0.39%,-0.96%,-0.13%
2026-02-12,2,603608,天创时尚,11.29,79.9,-2.92%,-2.13%,-1.15%,+1.68%,+1.95%
2026-02-12,3,603058,永吉股份,13.05,79.9,-1.92%,-2.53%,-0.31%,+1.61%,+0.77%
2026-02-12,4,002796,世嘉科技,48.4,72.2,-0.85%,-2.27%,-1.32%,+5.23%,+8.10%
2026-02-12,5,605318,法狮龙,75.11,71.5,+1.45%,+2.32%,+3.97%,+6.48%,+5.05%
2026-02-13,1,603331,百达精工,19.8,81.0,+7.58%,+1.26%,-5.10%,-7.98%,-15.76%
2026-02-13,2,002208,合肥城建,15.56,80.9,+6.17%,+0.51%,-0.84%,+0.00%,-1.35%
2026-02-13,3,603608,天创时尚,10.96,79.9,+0.82%,+1.82%,+4.74%,+5.02%,+2.74%
2026-02-13,4,603058,永吉股份,12.8,79.9,-0.62%,+1.64%,+3.59%,+2.73%,+2.34%
2026-02-13,5,002355,兴民智通,7.47,78.4,+1.07%,-0.54%,-1.20%,-2.54%,-6.96%
2026-02-24,1,002358,森源电气,8.8,88.2,+2.05%,+3.98%,+1.93%,-1.70%,-8.30%
2026-02-24,2,603619,中曼石油,36.41,81.8,+3.24%,-1.04%,-0.71%,+9.23%,+20.16%
2026-02-24,3,002491,通鼎互联,10.19,80.6,-6.48%,+2.85%,+3.93%,+9.13%,+20.02%
2026-02-24,4,000554,泰山石油,8.72,72.2,+1.26%,-0.23%,+2.75%,+13.07%,+24.43%
2026-02-24,5,000636,风华高科,23.4,70.0,+10.00%,+9.96%,+11.11%,+13.25%,+1.92%
2026-02-25,1,002358,森源电气,8.98,88.2,+1.89%,-0.11%,-3.67%,-10.13%,-3.34%
2026-02-25,2,603619,中曼石油,37.59,81.8,-4.15%,-3.83%,+5.80%,+16.39%,+24.47%
2026-02-25,3,600550,保变电气,17.4,80.6,+2.13%,+0.46%,-0.46%,-7.18%,+0.00%
2026-02-25,4,002491,通鼎互联,9.53,80.6,+9.97%,+11.12%,+16.68%,+28.33%,+32.74%
2026-02-25,5,002207,*ST准油,11.59,76.1,-0.78%,-2.59%,+7.16%,+17.86%,+29.68%
2026-02-26,1,002358,森源电气,9.15,88.2,-1.97%,-5.46%,-11.80%,-5.14%,-0.33%
2026-02-26,2,603619,中曼石油,36.03,81.8,+0.33%,+10.38%,+21.43%,+29.86%,+20.59%
2026-02-26,3,002970,锐明技术,82.05,80.6,-0.84%,-3.38%,-8.85%,-5.84%,-4.98%
2026-02-26,4,600550,保变电气,17.77,80.6,-1.63%,-2.53%,-9.12%,-2.08%,+7.09%
2026-02-26,5,003035,南网能源,7.47,80.2,+10.04%,+11.51%,+7.76%,+12.45%,+19.95%
2026-03-02,1,002970,锐明技术,79.28,80.6,-5.66%,-2.55%,-1.66%,-2.56%,-5.90%
2026-03-02,2,001267,汇绿生态,33.52,79.6,+4.18%,+0.15%,+10.17%,+16.80%,+23.78%
2026-03-02,3,601069,西部黄金,39.89,77.3,+2.66%,-2.98%,-6.72%,-7.22%,-4.06%
2026-03-02,4,002678,珠江钢琴,5.92,74.4,-1.69%,-2.36%,-2.70%,-0.84%,-6.59%
2026-03-02,5,000758,中色股份,8.81,72.8,-7.38%,-7.49%,-8.85%,-9.65%,-10.56%
2026-03-03,1,000506,招金黄金,21.6,84.3,-5.51%,-7.31%,-7.45%,-6.16%,-6.85%
2026-03-03,2,002970,锐明技术,74.79,80.6,+3.30%,+4.24%,+3.29%,-0.25%,+8.21%
2026-03-03,3,001267,汇绿生态,34.92,79.6,-3.87%,+5.76%,+12.11%,+18.81%,+30.70%
2026-03-03,4,603778,国晟科技,15.51,77.7,+2.00%,+0.26%,+10.32%,+14.25%,+22.05%
2026-03-03,5,601069,西部黄金,40.95,77.3,-5.49%,-9.13%,-9.62%,-6.54%,-8.08%
2026-03-04,1,000506,招金黄金,20.41,84.3,-1.91%,-2.06%,-0.69%,-1.42%,-2.40%
2026-03-04,2,600313,农发种业,9.24,84.0,-8.23%,-6.39%,-7.79%,-9.20%,-8.55%
2026-03-04,3,601096,宏盛华源,6.28,82.4,+3.98%,+6.85%,+12.42%,+11.62%,+9.87%
2026-03-04,4,001267,汇绿生态,33.57,79.6,+10.01%,+16.62%,+23.59%,+35.95%,+46.14%
2026-03-04,5,603778,国晟科技,15.82,77.7,-1.71%,+8.15%,+12.01%,+19.66%,+31.61%
2026-03-05,1,601015,陕西黑猫,5.08,86.0,-3.94%,-4.92%,-8.66%,-7.48%,+1.77%
2026-03-05,2,000506,招金黄金,20.02,84.3,-0.15%,+1.25%,+0.50%,-0.50%,-3.95%
2026-03-05,3,600313,农发种业,8.48,84.0,+2.00%,+0.47%,-1.06%,-0.35%,-2.48%
2026-03-05,4,603058,永吉股份,13.74,83.5,-1.97%,-4.59%,-1.24%,-2.04%,-3.86%
2026-03-05,5,603778,国晟科技,15.55,77.7,+10.03%,+13.95%,+21.74%,+33.89%,+41.48%
2026-03-06,1,601616,广电电气,6.16,85.4,-0.49%,+0.16%,-1.79%,-5.03%,-10.88%
2026-03-06,2,600313,农发种业,8.65,84.0,-1.50%,-3.01%,-2.31%,-4.39%,-4.62%
2026-03-06,3,603058,永吉股份,13.47,83.5,-2.67%,+0.74%,-0.07%,-1.93%,-5.72%
2026-03-06,4,600354,敦煌种业,7.63,75.0,+2.75%,+0.79%,+0.39%,-1.70%,-3.01%
2026-03-06,5,600403,大有能源,6.97,74.0,+0.29%,-2.01%,-3.73%,-1.43%,-1.58%
2026-03-09,1,601616,广电电气,6.13,85.4,+0.65%,-1.31%,-4.57%,-10.44%,-12.40%
2026-03-09,2,603058,永吉股份,13.11,83.5,+3.51%,+2.67%,+0.76%,-3.13%,-3.97%
2026-03-09,3,601096,宏盛华源,7.06,82.4,-0.71%,-2.27%,-5.10%,-8.07%,-9.49%
2026-03-09,4,003035,南网能源,9.58,81.0,+0.73%,+5.32%,+10.65%,+4.07%,-4.80%
2026-03-09,5,002300,太阳电缆,11.57,74.3,+1.73%,+0.26%,-4.32%,-9.85%,-9.77%
2026-03-10,1,603058,永吉股份,13.57,83.5,-0.81%,-2.65%,-6.41%,-7.22%,-10.98%
2026-03-10,2,002355,兴民智通,7.51,82.6,+0.13%,-2.93%,-1.46%,-0.93%,-0.40%
2026-03-10,3,003035,南网能源,9.65,81.0,+4.56%,+9.84%,+3.32%,-5.49%,-11.92%
2026-03-10,4,002112,三变科技,26.91,79.3,-0.97%,+1.75%,-6.21%,-8.25%,-12.37%
2026-03-10,5,603115,海星股份,32.0,79.0,+0.59%,+0.47%,+0.34%,+1.56%,-6.28%
2026-03-11,1,603138,海量数据,23.24,89.1,-5.12%,-12.65%,-8.69%,-12.91%,-5.98%
2026-03-11,2,002150,正泰电源,29.59,86.6,+10.00%,+12.98%,+6.83%,+17.51%,+11.52%
2026-03-11,3,003035,南网能源,10.09,81.0,+5.05%,-1.19%,-9.61%,-15.76%,-15.86%
2026-03-11,4,002112,三变科技,26.65,79.3,+2.74%,-5.29%,-7.35%,-11.52%,-9.34%
2026-03-11,5,603115,海星股份,32.19,79.0,-0.12%,-0.25%,+0.96%,-6.83%,+2.49%
2026-03-12,1,603138,海量数据,22.05,89.1,-7.94%,-3.76%,-8.21%,-0.91%,-2.40%
2026-03-12,2,003035,南网能源,10.6,81.0,-5.94%,-13.96%,-19.81%,-19.91%,-19.72%
2026-03-12,3,002112,三变科技,27.38,79.3,-7.82%,-9.82%,-13.88%,-11.76%,-16.00%
2026-03-12,4,603115,海星股份,32.15,79.0,-0.12%,+1.09%,-6.72%,+2.61%,+1.71%
2026-03-12,5,000899,赣能股份,15.29,78.4,-9.03%,-10.27%,-13.34%,-11.90%,-13.21%
2026-03-13,1,603138,海量数据,20.3,89.1,+4.53%,-0.30%,+7.64%,+6.01%,-2.36%
2026-03-13,2,605318,法狮龙,73.5,81.8,+3.86%,+0.22%,-0.72%,-2.44%,-1.78%
2026-03-13,3,003035,南网能源,9.97,81.0,-8.53%,-14.74%,-14.84%,-14.64%,-13.24%
2026-03-13,4,600683,京投发展,8.76,79.6,+10.05%,+21.00%,+21.46%,+12.67%,+23.97%
2026-03-13,5,002112,三变科技,25.24,79.3,-2.18%,-6.58%,-4.28%,-8.87%,-10.22%
2026-03-16,1,000899,赣能股份,13.72,78.4,-3.43%,-1.82%,-3.28%,-1.31%,-4.74%
2026-03-16,2,600667,太极实业,11.26,78.1,+2.93%,+3.55%,-0.27%,-5.15%,-11.46%
2026-03-16,3,002455,百川股份,14.8,75.0,-3.38%,-5.41%,-10.54%,-18.31%,-20.27%
2026-03-16,4,002438,江苏神通,18.49,74.0,-4.22%,-2.38%,-4.49%,-10.22%,-15.25%
2026-03-16,5,002248,华东数控,13.87,72.5,-3.97%,-1.80%,-6.27%,-10.74%,-15.86%
2026-03-17,1,600791,京能置业,9.36,83.7,-0.64%,-0.75%,-2.88%,-12.61%,-8.65%
2026-03-17,2,600667,太极实业,11.59,78.1,+0.60%,-3.11%,-7.85%,-13.98%,-11.65%
2026-03-17,3,002951,金时科技,15.95,72.2,-2.57%,-0.69%,-3.76%,-9.47%,-5.77%
2026-03-17,4,002109,ST兴化,5.0,68.8,-4.00%,+5.60%,-5.00%,-9.20%,-11.40%
2026-03-17,5,002254,泰和新材,12.18,65.7,-2.46%,-7.47%,-10.67%,-16.01%,-14.94%
