code,name,industry,lu_count_5d,streak,keyword
601869,长飞光纤,通信设备,2,2,海工装备
600487,亨通光电,通信设备,2,1,海工装备
002427,尤夫股份,化纤,1,1,海工装备
600869,远东股份,电气设备,1,1,海工装备
601868,中国能建,建筑工程,1,1,海工装备
603011,合锻智能,专用机械,1,1,海工装备
002497,雅化集团,小金属,1,1,民爆
000725,京东方Ａ,元器件,1,1,钙钛矿电池
002643,万润股份,化工原料,1,1,钙钛矿电池
605598,上海港湾,建筑工程,1,1,钙钛矿电池
001339,智微智能,IT设备,3,1,车联网
002990,盛视科技,软件服务,2,1,车联网
000925,众合科技,运输设备,1,1,车联网
002161,远 望 谷,通信设备,1,1,车联网
002415,海康威视,IT设备,1,1,车联网
002446,盛路通信,通信设备,1,1,车联网
002806,华锋股份,汽车配件,1,1,车联网
002906,华阳集团,汽车配件,1,1,车联网
300088,长信科技,元器件,1,1,车联网
300386,飞天诚信,IT设备,1,1,车联网
300735,光弘科技,元器件,1,1,车联网
301099,雅创电子,元器件,1,1,车联网
301132,满坤科技,元器件,1,1,车联网
603660,苏州科达,IT设备,1,1,车联网
002038,双鹭药业,生物制药,1,1,肝素
002550,千红制药,生物制药,1,1,肝素
002436,兴森科技,元器件,3,3,卫星
000823,超声电子,元器件,3,2,卫星
003031,中瓷电子,元器件,2,1,卫星
600498,烽火通信,通信设备,2,1,卫星
000818,航锦科技,化工原料,1,1,卫星
002194,武汉凡谷,通信设备,1,1,卫星
300903,科翔股份,元器件,1,1,卫星
600246,万通发展,区域地产,1,1,卫星
603679,华体科技,电气设备,1,1,卫星
605178,时空科技,装修装饰,2,2,智慧灯杆
000541,佛山照明,家用电器,1,1,智慧灯杆
002963,豪尔赛,装修装饰,1,1,智慧灯杆
