======================================================================
  策略武器库 · 午盘信号速报
  日期: 2026-06-24
======================================================================

【市场概况】
  全市场: 2988只 | 均涨幅 +0.00% | 上涨比 0%
  CSI1000: 8680 | 趋势: 上升 | 涨停: 0只

【涨停池】100 只 — 4条件(市值30-500亿/股价5-100/MA5>MA10/20日涨停2-4次)
  000025 特  力Ａ    涨幅+0.0% | 20日涨停2次 | 综合类
  000029 深深房Ａ     涨幅+0.0% | 20日涨停3次 | 区域地产
  000032 深桑达Ａ     涨幅+0.0% | 20日涨停4次 | 建筑工程
  000034 神州数码     涨幅+0.0% | 20日涨停2次 | 软件服务
  000062 深圳华强     涨幅+0.0% | 20日涨停2次 | 元器件
  000070 特发信息     涨幅+0.0% | 20日涨停3次 | 通信设备
  000422 湖北宜化     涨幅+0.0% | 20日涨停2次 | 农药化肥
  000506 招金黄金     涨幅+0.0% | 20日涨停2次 | 黄金
  000534 万泽股份     涨幅+0.0% | 20日涨停2次 | 生物制药
  000571 新大洲A     涨幅+0.0% | 20日涨停3次 | 煤炭开采
  000612 焦作万方     涨幅+0.0% | 20日涨停2次 | 铝
  000700 模塑科技     涨幅+0.0% | 20日涨停3次 | 汽车配件
  000733 振华科技     涨幅+0.0% | 20日涨停3次 | 元器件
  000737 北方铜业     涨幅+0.0% | 20日涨停2次 | 铜
  000751 锌业股份     涨幅+0.0% | 20日涨停2次 | 铅锌
  000758 中色股份     涨幅+0.0% | 20日涨停2次 | 铅锌
  000759 中百集团     涨幅+0.0% | 20日涨停4次 | 超市连锁
  000777 中核科技     涨幅+0.0% | 20日涨停3次 | 机械基件
  000791 甘肃能源     涨幅+0.0% | 20日涨停2次 | 水力发电
  000823 超声电子     涨幅+0.0% | 20日涨停4次 | 元器件
  000920 沃顿科技     涨幅+0.0% | 20日涨停2次 | 塑料
  000962 东方钽业     涨幅+0.0% | 20日涨停3次 | 小金属
  000970 中科三环     涨幅+0.0% | 20日涨停3次 | 矿物制品
  001206 依依股份     涨幅+0.0% | 20日涨停2次 | 造纸
  001223 欧克科技     涨幅+0.0% | 20日涨停2次 | 专用机械
