数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-06-03,1,002552,宝鼎科技,8.0,59.47,-2.16
2026-06-03,2,600172,黄河旋风,7.0,15.04,8.2
2026-06-03,3,600396,华电辽能,6.0,21.34,10.0
2026-06-03,4,002579,中京电子,5.0,19.45,-6.31
2026-06-03,5,600367,红星发展,5.0,42.72,9.99
2026-06-03,6,600758,辽宁能源,5.0,5.39,2.67
2026-06-03,7,603890,春秋电子,5.0,31.33,4.36
2026-06-03,8,603989,艾华集团,5.0,31.14,-1.89
2026-06-03,9,000510,新金路,4.0,19.18,-2.04
2026-06-03,10,000539,粤电力Ａ,4.0,9.4,2.96
2026-06-03,11,000601,韶能股份,4.0,9.3,3.45
2026-06-03,12,000767,晋控电力,4.0,6.07,-0.65
2026-06-03,13,001210,金房能源,4.0,35.9,-2.6
2026-06-03,14,002806,华锋股份,4.0,18.8,-7.53
2026-06-03,15,002951,金时科技,4.0,22.54,5.62
2026-06-03,16,002971,和远气体,4.0,33.99,-0.5
2026-06-03,17,300721,怡达股份,4.0,32.72,2.38
2026-06-03,18,603011,合锻智能,4.0,30.91,6.62
2026-06-03,19,603303,得邦照明,4.0,27.15,6.14
2026-06-03,20,603311,金海高科,4.0,37.51,10.0
2026-06-03,21,605580,恒盛能源,4.0,28.28,10.0
2026-06-03,22,001896,豫能控股,3.0,20.08,10.03
2026-06-03,23,002081,金 螳 螂,3.0,6.65,-2.92
2026-06-03,24,002181,粤 传 媒,3.0,15.79,-3.37
2026-06-03,25,002585,双星新材,3.0,10.73,-4.37
2026-06-03,26,002927,泰永长征,3.0,22.09,-2.86
2026-06-03,27,002995,天地在线,3.0,25.03,-3.73
2026-06-03,28,300174,元力股份,3.0,26.48,-1.63
2026-06-03,29,300179,四方达,3.0,51.3,7.52
2026-06-03,30,300184,力源信息,3.0,17.83,-2.35
2026-06-03,31,300420,五洋自控,3.0,5.69,0.35
2026-06-03,32,300715,凯伦股份,3.0,25.67,5.29
2026-06-03,33,300907,康平科技,3.0,48.56,9.15
2026-06-03,34,300975,商络电子,3.0,42.69,-1.66
2026-06-03,35,301013,利和兴,3.0,54.08,1.08
2026-06-03,36,600121,郑州煤电,3.0,5.69,10.06
2026-06-03,37,600310,广西能源,3.0,6.35,10.05
2026-06-03,38,600360,华微电子,3.0,12.83,0.47
2026-06-03,39,600403,大有能源,3.0,6.73,9.97
2026-06-03,40,600488,津药药业,3.0,5.46,0.37
2026-06-03,41,600596,新安股份,3.0,14.4,10.01
2026-06-03,42,600857,宁波中百,3.0,17.22,4.17
2026-06-03,43,603324,盛剑科技,3.0,32.48,-4.33
2026-06-03,44,603330,天洋新材,3.0,8.55,10.04
2026-06-03,45,603823,百合花,3.0,28.76,1.73
2026-06-03,46,605006,山东玻纤,3.0,17.19,2.02
2026-06-03,47,688079,美迪凯,3.0,30.2,12.86
2026-06-03,48,000037,深南电A,2.0,11.88,-1.08
2026-06-03,49,000533,顺钠股份,2.0,11.82,-2.96
2026-06-03,50,000600,建投能源,2.0,12.45,5.51
2026-06-03,51,000720,新能泰山,2.0,5.49,1.48
2026-06-03,52,000759,中百集团,2.0,5.75,-1.88
2026-06-03,53,000791,甘肃能源,2.0,10.45,3.67
2026-06-03,54,001269,欧晶科技,2.0,28.55,6.02
2026-06-03,55,002030,达安基因,2.0,6.44,2.38
2026-06-03,56,002046,国机精工,2.0,56.98,10.0
2026-06-03,57,002056,横店东磁,2.0,27.5,7.17
2026-06-03,58,002072,凯瑞德,2.0,8.17,2.12
2026-06-03,59,002121,科陆电子,2.0,7.19,-2.97
2026-06-03,60,002137,实益达,2.0,10.4,10.05
2026-06-03,61,002348,高乐股份,2.0,15.29,2.55
2026-06-03,62,002404,嘉欣丝绸,2.0,7.55,2.03
2026-06-03,63,002491,通鼎互联,2.0,24.39,-2.79
2026-06-03,64,002606,大连电瓷,2.0,14.95,-9.99
2026-06-03,65,002608,江苏国信,2.0,10.3,-1.15
2026-06-03,66,002733,雄韬股份,2.0,29.7,-0.83
2026-06-03,67,002735,王子新材,2.0,16.18,9.99
2026-06-03,68,002741,光华科技,2.0,28.22,3.94
2026-06-03,69,002771,真视通,2.0,16.74,-2.28
2026-06-03,70,002871,伟隆股份,2.0,22.57,-1.05
2026-06-03,71,002976,瑞玛精密,2.0,33.37,1.68
2026-06-03,72,300163,先锋新材,2.0,6.43,1.42
2026-06-03,73,300265,通光线缆,2.0,23.53,-2.04
2026-06-03,74,300286,安科瑞,2.0,32.62,6.64
2026-06-03,75,300410,正业科技,2.0,12.13,-5.23
2026-06-03,76,300486,东杰智能,2.0,28.25,-5.77
2026-06-03,77,300747,锐科激光,2.0,47.87,17.73
2026-06-03,78,300825,阿尔特,2.0,14.55,4.75
2026-06-03,79,300956,英力股份,2.0,17.1,-10.94
2026-06-03,80,301067,显盈科技,2.0,35.9,10.87
2026-06-03,81,301115,联检科技,2.0,33.94,20.01
2026-06-03,82,301218,华是科技,2.0,41.35,11.88
2026-06-03,83,301281,科源制药,2.0,44.67,11.87
2026-06-03,84,301329,信音电子,2.0,33.27,10.75
2026-06-03,85,301419,阿莱德,2.0,50.36,12.21
2026-06-03,86,301439,泓淋电力,2.0,23.29,3.42
2026-06-03,87,301566,达利凯普,2.0,38.51,3.24
2026-06-03,88,301591,肯特股份,2.0,53.02,4.33
2026-06-03,89,600032,浙江新能,2.0,11.43,4.67
2026-06-03,90,600110,诺德股份,2.0,12.04,1.69
2026-06-03,91,600246,万通发展,2.0,17.15,9.8
2026-06-03,92,600330,天通股份,2.0,31.5,-1.56
2026-06-03,93,600459,贵研铂业,2.0,24.2,3.2
2026-06-03,94,600545,卓郎智能,2.0,7.18,-1.37
2026-06-03,95,600667,太极实业,2.0,14.87,-0.47
