数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-06-02,1,002552,宝鼎科技,9.0,60.78,4.92
2026-06-02,2,600172,黄河旋风,7.0,13.9,3.19
2026-06-02,3,002579,中京电子,5.0,20.76,10.02
2026-06-02,4,600396,华电辽能,5.0,19.4,4.86
2026-06-02,5,600758,辽宁能源,5.0,5.25,1.74
2026-06-02,6,603890,春秋电子,5.0,30.02,10.0
2026-06-02,7,603989,艾华集团,5.0,31.74,-1.52
2026-06-02,8,000509,华塑控股,4.0,5.15,4.67
2026-06-02,9,000510,新金路,4.0,19.58,6.88
2026-06-02,10,000539,粤电力Ａ,4.0,9.13,-6.55
2026-06-02,11,000601,韶能股份,4.0,8.99,10.04
2026-06-02,12,000767,晋控电力,4.0,6.11,-0.49
2026-06-02,13,001210,金房能源,4.0,36.86,10.0
2026-06-02,14,002806,华锋股份,4.0,20.33,10.01
2026-06-02,15,002951,金时科技,4.0,21.34,10.0
2026-06-02,16,002971,和远气体,4.0,34.16,-1.21
2026-06-02,17,300721,怡达股份,4.0,31.96,-4.31
2026-06-02,18,600367,红星发展,4.0,38.84,10.0
2026-06-02,19,603011,合锻智能,4.0,28.99,5.76
2026-06-02,20,603303,得邦照明,4.0,25.58,-2.22
2026-06-02,21,603311,金海高科,4.0,34.1,10.0
2026-06-02,22,603663,三祥新材,4.0,61.79,3.8
2026-06-02,23,603678,火炬电子,4.0,58.61,10.0
2026-06-02,24,603936,博敏电子,4.0,22.13,-1.03
2026-06-02,25,605006,山东玻纤,4.0,16.85,2.18
2026-06-02,26,000720,新能泰山,3.0,5.41,5.87
2026-06-02,27,002030,达安基因,3.0,6.29,-6.26
2026-06-02,28,002081,金 螳 螂,3.0,6.85,1.03
2026-06-02,29,002181,粤 传 媒,3.0,16.34,-10.02
2026-06-02,30,002491,通鼎互联,3.0,25.09,8.15
2026-06-02,31,002585,双星新材,3.0,11.22,6.15
2026-06-02,32,002927,泰永长征,3.0,22.74,-2.99
2026-06-02,33,002995,天地在线,3.0,26.0,3.54
2026-06-02,34,300069,金利华电,3.0,49.7,3.01
2026-06-02,35,300174,元力股份,3.0,26.92,-1.72
2026-06-02,36,300179,四方达,3.0,47.71,6.38
2026-06-02,37,300184,力源信息,3.0,18.26,15.13
2026-06-02,38,300420,五洋自控,3.0,5.67,12.95
2026-06-02,39,300626,华瑞股份,3.0,34.23,0.53
2026-06-02,40,300715,凯伦股份,3.0,24.38,12.04
2026-06-02,41,300907,康平科技,3.0,44.49,10.4
2026-06-02,42,300975,商络电子,3.0,43.41,12.72
2026-06-02,43,301013,利和兴,3.0,53.5,15.55
2026-06-02,44,600360,华微电子,3.0,12.77,9.99
2026-06-02,45,600539,狮头股份,3.0,15.24,-4.87
2026-06-02,46,600545,卓郎智能,3.0,7.28,-1.89
2026-06-02,47,600857,宁波中百,3.0,16.53,5.15
2026-06-02,48,603324,盛剑科技,3.0,33.95,3.29
2026-06-02,49,603618,杭电股份,3.0,42.24,9.89
2026-06-02,50,603661,恒林股份,3.0,33.7,7.36
2026-06-02,51,603823,百合花,3.0,28.27,0.71
2026-06-02,52,605566,福莱蒽特,3.0,42.0,0.6
2026-06-02,53,605580,恒盛能源,3.0,25.71,-4.64
2026-06-02,54,000037,深南电A,2.0,12.01,-5.06
2026-06-02,55,000600,建投能源,2.0,11.8,-3.36
2026-06-02,56,000759,中百集团,2.0,5.86,-2.01
2026-06-02,57,000791,甘肃能源,2.0,10.08,4.67
2026-06-02,58,001269,欧晶科技,2.0,26.93,3.26
2026-06-02,59,001896,豫能控股,2.0,18.25,3.4
2026-06-02,60,002012,凯恩股份,2.0,7.51,-0.53
2026-06-02,61,002056,横店东磁,2.0,25.66,5.47
2026-06-02,62,002121,科陆电子,2.0,7.41,-5.96
2026-06-02,63,002245,蔚蓝锂芯,2.0,20.57,1.43
2026-06-02,64,002348,高乐股份,2.0,14.91,1.43
2026-06-02,65,002404,嘉欣丝绸,2.0,7.4,9.96
2026-06-02,66,002606,大连电瓷,2.0,16.61,-5.73
2026-06-02,67,002608,江苏国信,2.0,10.42,2.96
2026-06-02,68,002733,雄韬股份,2.0,29.95,-0.1
2026-06-02,69,002741,光华科技,2.0,27.15,-0.73
2026-06-02,70,002771,真视通,2.0,17.13,-3.66
2026-06-02,71,002871,伟隆股份,2.0,22.81,3.07
2026-06-02,72,002881,美格智能,2.0,45.58,-0.91
2026-06-02,73,002976,瑞玛精密,2.0,32.82,-8.3
2026-06-02,74,300163,先锋新材,2.0,6.34,2.26
2026-06-02,75,300265,通光线缆,2.0,24.02,1.31
2026-06-02,76,300286,安科瑞,2.0,30.59,-2.11
2026-06-02,77,300410,正业科技,2.0,12.8,8.94
2026-06-02,78,300486,东杰智能,2.0,29.98,20.02
2026-06-02,79,300593,新雷能,2.0,35.74,1.53
2026-06-02,80,300825,阿尔特,2.0,13.89,0.07
2026-06-02,81,300956,英力股份,2.0,19.2,13.34
2026-06-02,82,301028,鼎熔岩,2.0,19.66,-2.48
2026-06-02,83,301111,粤万年青,2.0,27.73,3.09
2026-06-02,84,301176,逸豪新材,2.0,43.0,-0.44
2026-06-02,85,301439,泓淋电力,2.0,22.52,-4.09
2026-06-02,86,301566,达利凯普,2.0,37.3,20.01
2026-06-02,87,301591,肯特股份,2.0,50.82,3.29
2026-06-02,88,600032,浙江新能,2.0,10.92,2.34
2026-06-02,89,600110,诺德股份,2.0,11.84,-4.28
2026-06-02,90,600121,郑州煤电,2.0,5.17,10.0
2026-06-02,91,600246,万通发展,2.0,15.62,-1.39
2026-06-02,92,600310,广西能源,2.0,5.77,-1.2
2026-06-02,93,600330,天通股份,2.0,32.0,4.58
2026-06-02,94,600353,旭光电子,2.0,23.22,3.71
2026-06-02,95,600379,宝光股份,2.0,13.23,-4.68
2026-06-02,96,600403,大有能源,2.0,6.12,10.07
2026-06-02,97,600459,贵研铂业,2.0,23.45,9.99
2026-06-02,98,600667,太极实业,2.0,14.94,10.01
2026-06-02,99,600719,大连热电,2.0,9.29,-4.42
2026-06-02,100,600850,电科数字,2.0,25.41,-0.7
2026-06-02,101,600982,宁波能源,2.0,6.74,1.05
2026-06-02,102,600992,贵绳股份,2.0,12.5,-5.16
2026-06-02,103,600996,贵广网络,2.0,9.08,-3.81
2026-06-02,104,601101,昊华能源,2.0,13.32,0.38
2026-06-02,105,603001,奥康国际,2.0,10.45,5.13
2026-06-02,106,603005,晶方科技,2.0,38.63,2.39
2026-06-02,107,603031,安孚科技,2.0,61.83,6.6
2026-06-02,108,603032,德新科技,2.0,24.58,-1.48
2026-06-02,109,603070,万控智造,2.0,16.45,-2.95
2026-06-02,110,603330,天洋新材,2.0,7.77,10.06
2026-06-02,111,603439,三力制药,2.0,16.43,-0.48
2026-06-02,112,603533,掌阅科技,2.0,26.25,-0.72
2026-06-02,113,603601,再升科技,2.0,17.15,-10.02
2026-06-02,114,603608,天创时尚,2.0,19.31,1.85
2026-06-02,115,603682,锦和商管,2.0,9.19,-0.43
2026-06-02,116,603895,天永智能,2.0,37.77,1.83
2026-06-02,117,603919,金徽酒,2.0,21.06,-2.55
2026-06-02,118,605055,迎丰股份,2.0,12.02,-7.25
2026-06-02,119,605086,龙高股份,2.0,31.49,-2.24
2026-06-02,120,605198,安德利,2.0,55.98,-3.28
2026-06-02,121,605358,立昂微,2.0,53.84,-4.03
2026-06-02,122,605589,圣泉集团,2.0,54.12,10.0
2026-06-02,123,688079,美迪凯,2.0,26.76,20.0
2026-06-02,124,688352,颀中科技,2.0,23.62,9.25
2026-06-02,125,688362,甬矽电子,2.0,60.1,0.74
2026-06-02,126,688478,晶升股份,2.0,59.35,-5.13
