数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-06-05,1,002421,达实智能,9.0,5.21,9.92
2026-06-05,2,002552,宝鼎科技,8.0,58.32,-1.15
2026-06-05,3,600172,黄河旋风,7.0,13.43,-7.25
2026-06-05,4,600367,红星发展,6.0,49.5,5.36
2026-06-05,5,600396,华电辽能,6.0,20.01,-8.92
2026-06-05,6,603938,三孚股份,6.0,52.82,10.0
2026-06-05,7,002579,中京电子,5.0,18.69,-9.32
2026-06-05,8,002806,华锋股份,5.0,19.78,-4.35
2026-06-05,9,002951,金时科技,5.0,22.31,-10.0
2026-06-05,10,002971,和远气体,5.0,39.3,5.11
2026-06-05,11,300302,同有科技,5.0,53.01,-3.93
2026-06-05,12,600403,大有能源,5.0,8.14,10.0
2026-06-05,13,603890,春秋电子,5.0,31.24,6.4
2026-06-05,14,000510,新金路,4.0,18.5,-3.8
2026-06-05,15,000539,粤电力Ａ,4.0,8.25,-10.03
2026-06-05,16,000601,韶能股份,4.0,7.97,-7.33
2026-06-05,17,000767,晋控电力,4.0,5.34,-6.97
2026-06-05,18,001210,金房能源,4.0,24.93,-28.89
2026-06-05,19,001896,豫能控股,4.0,19.88,-10.0
2026-06-05,20,002585,双星新材,4.0,11.82,0.17
2026-06-05,21,002787,华源控股,4.0,27.82,-8.55
2026-06-05,22,002957,科瑞技术,4.0,60.2,-6.88
2026-06-05,23,003004,声迅股份,4.0,62.29,1.45
2026-06-05,24,300721,怡达股份,4.0,30.54,-3.29
2026-06-05,25,301188,力诺药包,4.0,54.69,0.28
2026-06-05,26,600863,华能蒙电,4.0,6.23,-9.45
2026-06-05,27,600936,北投科技,4.0,5.98,-3.08
2026-06-05,28,603011,合锻智能,4.0,32.7,1.36
2026-06-05,29,603303,得邦照明,4.0,27.45,-1.12
2026-06-05,30,603311,金海高科,4.0,40.92,6.2
2026-06-05,31,603330,天洋新材,4.0,8.61,-8.5
2026-06-05,32,603678,火炬电子,4.0,62.98,-2.43
2026-06-05,33,605580,恒盛能源,4.0,26.16,-8.24
2026-06-05,34,000608,阳光股份,3.0,5.52,9.96
2026-06-05,35,001223,欧克科技,3.0,46.46,-1.15
2026-06-05,36,002072,凯瑞德,3.0,9.09,1.11
2026-06-05,37,002081,金 螳 螂,3.0,5.78,-6.47
2026-06-05,38,002181,粤 传 媒,3.0,15.04,-1.89
2026-06-05,39,002491,通鼎互联,3.0,24.82,-7.49
2026-06-05,40,002645,华宏科技,3.0,31.17,-13.66
2026-06-05,41,002995,天地在线,3.0,22.49,-4.78
2026-06-05,42,300174,元力股份,3.0,25.93,-8.24
2026-06-05,43,300179,四方达,3.0,47.5,-7.55
2026-06-05,44,300184,力源信息,3.0,17.0,-6.28
2026-06-05,45,300292,吴通控股,3.0,6.15,5.31
2026-06-05,46,300420,五洋自控,3.0,6.07,7.24
2026-06-05,47,300715,凯伦股份,3.0,25.5,-5.73
2026-06-05,48,300907,康平科技,3.0,53.01,8.89
2026-06-05,49,300975,商络电子,3.0,44.8,2.96
2026-06-05,50,301013,利和兴,3.0,56.23,-5.27
2026-06-05,51,600121,郑州煤电,3.0,5.22,-8.42
2026-06-05,52,600246,万通发展,3.0,17.39,-7.84
2026-06-05,53,600301,华锡有色,3.0,60.05,-6.27
2026-06-05,54,600310,广西能源,3.0,5.66,-10.02
2026-06-05,55,600353,旭光电子,3.0,26.3,-0.53
2026-06-05,56,600360,华微电子,3.0,13.0,-5.18
2026-06-05,57,600488,津药药业,3.0,5.17,-5.31
2026-06-05,58,600500,中化国际,3.0,5.7,0.0
2026-06-05,59,600596,新安股份,3.0,14.41,0.63
2026-06-05,60,600667,太极实业,3.0,16.15,-1.28
2026-06-05,61,600769,祥龙电业,3.0,16.02,2.89
2026-06-05,62,600857,宁波中百,3.0,15.39,-2.29
2026-06-05,63,603135,中重科技,3.0,14.03,10.04
2026-06-05,64,603324,盛剑科技,3.0,30.18,-3.85
2026-06-05,65,603823,百合花,3.0,29.62,9.46
2026-06-05,66,688079,美迪凯,3.0,31.1,-2.35
2026-06-05,67,000037,深南电A,2.0,10.95,-4.45
2026-06-05,68,000062,深圳华强,2.0,33.66,2.72
2026-06-05,69,000533,顺钠股份,2.0,11.31,-2.16
2026-06-05,70,000600,建投能源,2.0,11.48,-8.67
2026-06-05,71,000700,模塑科技,2.0,17.29,-2.87
2026-06-05,72,000720,新能泰山,2.0,5.16,-0.39
2026-06-05,73,000791,甘肃能源,2.0,9.2,-5.93
2026-06-05,74,000925,众合科技,2.0,8.64,2.01
2026-06-05,75,001269,欧晶科技,2.0,27.2,-1.2
