数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-05-29,1,002552,宝鼎科技,10.0,57.7,3.81
2026-05-29,2,600172,黄河旋风,7.0,14.08,-3.56
2026-05-29,3,600396,华电辽能,7.0,20.03,4.0
2026-05-29,4,000509,华塑控股,5.0,5.16,-9.95
2026-05-29,5,603936,博敏电子,5.0,23.98,-5.66
2026-05-29,6,603989,艾华集团,5.0,35.81,-6.79
2026-05-29,7,605006,山东玻纤,5.0,18.32,-9.31
2026-05-29,8,002782,可立克,4.0,27.72,-7.48
2026-05-29,9,600234,科新发展,4.0,26.12,-0.68
2026-05-29,10,600683,京投发展,4.0,15.2,-5.71
2026-05-29,11,600719,大连热电,4.0,9.64,0.52
2026-05-29,12,600936,北投科技,4.0,5.31,-2.39
2026-05-29,13,603045,福达合金,4.0,62.2,-9.55
2026-05-29,14,603269,海鸥股份,4.0,21.57,-3.96
2026-05-29,15,603303,得邦照明,4.0,28.78,10.02
2026-05-29,16,603353,和顺石油,4.0,50.99,-10.01
2026-05-29,17,603663,三祥新材,4.0,58.87,-7.58
2026-05-29,18,000510,新金路,3.0,16.65,-6.2
2026-05-29,19,000539,粤电力Ａ,3.0,8.88,10.04
2026-05-29,20,000601,韶能股份,3.0,8.46,5.49
2026-05-29,21,000767,晋控电力,3.0,5.58,10.06
2026-05-29,22,002030,达安基因,3.0,7.08,2.46
2026-05-29,23,002245,蔚蓝锂芯,3.0,20.68,-3.9
2026-05-29,24,002579,中京电子,3.0,17.15,-5.72
2026-05-29,25,002585,双星新材,3.0,10.23,-10.03
2026-05-29,26,002806,华锋股份,3.0,18.49,9.99
2026-05-29,27,002927,泰永长征,3.0,24.3,4.34
2026-05-29,28,002951,金时科技,3.0,17.64,0.86
2026-05-29,29,002957,科瑞技术,3.0,62.04,0.13
2026-05-29,30,003004,声迅股份,3.0,59.71,4.24
2026-05-29,31,300069,金利华电,3.0,49.56,-5.4
2026-05-29,32,300174,元力股份,3.0,27.05,2.54
2026-05-29,33,300179,四方达,3.0,45.25,4.92
2026-05-29,34,300553,集智股份,3.0,61.9,-4.59
2026-05-29,35,300626,华瑞股份,3.0,35.49,-4.72
2026-05-29,36,300975,商络电子,3.0,35.81,-4.46
2026-05-29,37,301176,逸豪新材,3.0,46.24,-2.03
2026-05-29,38,301188,力诺药包,3.0,42.26,-4.39
2026-05-29,39,600186,莲花控股,3.0,10.15,-7.31
2026-05-29,40,600539,狮头股份,3.0,14.56,-6.61
2026-05-29,41,600545,卓郎智能,3.0,7.88,3.55
2026-05-29,42,600707,彩虹股份,3.0,9.77,-10.04
2026-05-29,43,600857,宁波中百,3.0,15.46,9.96
2026-05-29,44,603001,奥康国际,3.0,10.11,-1.56
2026-05-29,45,603011,合锻智能,3.0,24.92,10.02
2026-05-29,46,603031,安孚科技,3.0,60.1,3.55
2026-05-29,47,603063,禾望电气,3.0,55.66,-7.68
2026-05-29,48,603311,金海高科,3.0,30.16,-1.11
2026-05-29,49,603324,盛剑科技,3.0,34.29,10.01
2026-05-29,50,603661,恒林股份,3.0,31.24,-5.19
2026-05-29,51,603890,春秋电子,3.0,24.81,10.02
2026-05-29,52,605580,恒盛能源,3.0,29.96,7.5
2026-05-29,53,000026,飞亚达,2.0,23.95,3.86
2026-05-29,54,000060,中金岭南,2.0,7.71,-0.9
2026-05-29,55,000600,建投能源,2.0,12.55,3.72
2026-05-29,56,000759,中百集团,2.0,6.11,5.89
2026-05-29,57,000791,甘肃能源,2.0,9.84,1.65
2026-05-29,58,000859,国风新材,2.0,10.78,0.65
