数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-06-04,1,002552,宝鼎科技,8.0,59.0,-0.79
2026-06-04,2,600172,黄河旋风,7.0,14.48,-3.72
2026-06-04,3,600367,红星发展,6.0,46.98,9.97
2026-06-04,4,600396,华电辽能,6.0,21.97,2.95
2026-06-04,5,603989,艾华集团,6.0,34.25,9.99
2026-06-04,6,002579,中京电子,5.0,20.61,5.96
2026-06-04,7,002806,华锋股份,5.0,20.68,10.0
2026-06-04,8,002951,金时科技,5.0,24.79,9.98
2026-06-04,9,002971,和远气体,5.0,37.39,10.0
2026-06-04,10,300302,同有科技,5.0,55.18,0.68
2026-06-04,11,600758,辽宁能源,5.0,5.12,-5.01
2026-06-04,12,603890,春秋电子,5.0,29.36,-6.29
2026-06-04,13,000510,新金路,4.0,19.23,0.26
2026-06-04,14,000539,粤电力Ａ,4.0,9.17,-2.45
2026-06-04,15,000601,韶能股份,4.0,8.6,-7.53
2026-06-04,16,000767,晋控电力,4.0,5.74,-5.44
2026-06-04,17,001210,金房能源,4.0,35.06,-2.34
2026-06-04,18,001896,豫能控股,4.0,22.09,10.01
2026-06-04,19,002585,双星新材,4.0,11.8,9.97
2026-06-04,20,002787,华源控股,4.0,30.42,10.02
2026-06-04,21,003004,声迅股份,4.0,61.4,-4.79
2026-06-04,22,300721,怡达股份,4.0,31.58,-3.48
2026-06-04,23,301188,力诺药包,4.0,54.54,20.0
2026-06-04,24,600403,大有能源,4.0,7.4,9.96
2026-06-04,25,600936,北投科技,4.0,6.17,-5.22
2026-06-04,26,603011,合锻智能,4.0,32.26,4.37
2026-06-04,27,603303,得邦照明,4.0,27.76,2.25
2026-06-04,28,603311,金海高科,4.0,38.53,2.72
2026-06-04,29,603330,天洋新材,4.0,9.41,10.06
2026-06-04,30,605580,恒盛能源,4.0,28.51,0.81
2026-06-04,31,002072,凯瑞德,3.0,8.99,10.04
2026-06-04,32,002081,金 螳 螂,3.0,6.18,-7.07
2026-06-04,33,002181,粤 传 媒,3.0,15.33,-2.91
2026-06-04,34,002491,通鼎互联,3.0,26.83,10.0
2026-06-04,35,002645,华宏科技,3.0,36.1,9.99
2026-06-04,36,002927,泰永长征,3.0,21.3,-3.58
2026-06-04,37,002995,天地在线,3.0,23.62,-5.63
2026-06-04,38,300174,元力股份,3.0,28.26,6.72
2026-06-04,39,300179,四方达,3.0,51.38,0.16
2026-06-04,40,300184,力源信息,3.0,18.14,1.74
2026-06-04,41,300420,五洋自控,3.0,5.66,-0.53
2026-06-04,42,300715,凯伦股份,3.0,27.05,5.38
2026-06-04,43,300907,康平科技,3.0,48.68,0.25
2026-06-04,44,300975,商络电子,3.0,43.51,1.92
2026-06-04,45,301013,利和兴,3.0,59.36,9.76
2026-06-04,46,600121,郑州煤电,3.0,5.7,0.18
2026-06-04,47,600246,万通发展,3.0,18.87,10.03
2026-06-04,48,600310,广西能源,3.0,6.29,-0.94
2026-06-04,49,600353,旭光电子,3.0,26.44,9.98
2026-06-04,50,600360,华微电子,3.0,13.71,6.86
2026-06-04,51,600488,津药药业,3.0,5.46,0.0
2026-06-04,52,600500,中化国际,3.0,5.7,-4.52
2026-06-04,53,600596,新安股份,3.0,14.32,-0.56
2026-06-04,54,600667,太极实业,3.0,16.36,10.02
2026-06-04,55,600857,宁波中百,3.0,15.75,-8.54
2026-06-04,56,603324,盛剑科技,3.0,31.39,-3.36
2026-06-04,57,603823,百合花,3.0,27.06,-5.91
2026-06-04,58,688079,美迪凯,3.0,31.85,5.46
2026-06-04,59,000037,深南电A,2.0,11.46,-3.54
2026-06-04,60,000600,建投能源,2.0,12.57,0.96
2026-06-04,61,000608,阳光股份,2.0,5.02,8.19
2026-06-04,62,000700,模塑科技,2.0,17.8,7.36
2026-06-04,63,000720,新能泰山,2.0,5.18,-5.65
2026-06-04,64,000759,中百集团,2.0,5.18,-9.91
2026-06-04,65,000791,甘肃能源,2.0,9.78,-6.41
2026-06-04,66,001269,欧晶科技,2.0,27.53,-3.57
2026-06-04,67,002051,中工国际,2.0,12.02,9.97
2026-06-04,68,002056,横店东磁,2.0,29.42,6.98
2026-06-04,69,002137,实益达,2.0,10.54,1.35
2026-06-04,70,002348,高乐股份,2.0,14.63,-4.32
2026-06-04,71,002404,嘉欣丝绸,2.0,7.43,-1.59
2026-06-04,72,002608,江苏国信,2.0,10.5,1.94
2026-06-04,73,002735,王子新材,2.0,17.12,5.81
