数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-06-12,1,002552,宝鼎科技,7.0,58.62,9.84
2026-06-12,2,603823,百合花,7.0,43.01,0.89
2026-06-12,3,002971,和远气体,6.0,58.03,10.01
2026-06-12,4,600500,中化国际,6.0,7.93,9.99
2026-06-12,5,688549,中巨芯,6.0,24.85,-17.3
2026-06-12,6,002585,双星新材,6.0,11.58,-6.76
2026-06-12,7,603938,三孚股份,6.0,53.07,-10.01
2026-06-12,8,301313,凡拓数创,6.0,59.3,6.64
2026-06-12,9,600403,大有能源,6.0,7.25,-9.94
2026-06-12,10,600367,红星发展,6.0,53.03,-1.85
2026-06-12,11,000759,中百集团,5.0,5.83,10.0
2026-06-12,12,600539,狮头股份,5.0,16.34,10.03
2026-06-12,13,603065,宿迁联盛,5.0,13.6,10.03
2026-06-12,14,688010,福光股份,5.0,47.84,19.99
2026-06-12,15,002254,泰和新材,5.0,18.06,-4.55
2026-06-12,16,002354,天娱数科,5.0,7.52,-5.76
2026-06-12,17,603011,合锻智能,5.0,31.11,-7.41
2026-06-12,18,001896,豫能控股,5.0,21.8,2.78
2026-06-12,19,301013,利和兴,5.0,50.87,-12.68
2026-06-12,20,603330,天洋新材,5.0,8.54,-3.39
2026-06-12,21,603311,金海高科,5.0,38.51,-1.08
2026-06-12,22,002733,雄韬股份,4.0,34.53,10.0
2026-06-12,23,301176,逸豪新材,4.0,56.6,19.99
2026-06-12,24,000048,京基智农,4.0,18.91,-3.57
2026-06-12,25,300334,津膜科技,4.0,13.41,4.28
2026-06-12,26,301188,力诺药包,4.0,52.46,-4.37
2026-06-12,27,600353,旭光电子,4.0,28.69,-4.18
2026-06-12,28,603661,恒林股份,4.0,35.44,-2.02
2026-06-12,29,605006,山东玻纤,4.0,20.59,-7.5
2026-06-12,30,688056,莱伯泰科,4.0,60.27,3.13
2026-06-12,31,000608,阳光股份,4.0,6.44,3.04
2026-06-12,32,600186,莲花控股,4.0,11.57,-8.39
2026-06-12,33,600596,新安股份,4.0,14.36,0.42
2026-06-12,34,603303,得邦照明,4.0,32.7,2.19
2026-06-12,35,603135,中重科技,4.0,12.02,-6.09
2026-06-12,36,300626,华瑞股份,4.0,35.5,-2.42
2026-06-12,37,300907,康平科技,4.0,46.73,5.06
2026-06-12,38,002272,川润股份,4.0,20.94,0.62
2026-06-12,39,001696,宗申动力,3.0,22.84,10.02
2026-06-12,40,002203,海亮股份,3.0,23.44,10.0
2026-06-12,41,003009,中天火箭,3.0,60.62,10.0
2026-06-12,42,603020,爱普股份,3.0,13.04,10.04
2026-06-12,43,603335,迪生力,3.0,8.05,9.97
2026-06-12,44,002119,康强电子,3.0,31.96,2.44
2026-06-12,45,002824,和胜股份,3.0,28.85,-0.03
2026-06-12,46,600459,贵研铂业,3.0,24.99,-0.48
2026-06-12,47,600667,太极实业,3.0,16.42,-6.23
2026-06-12,48,603936,博敏电子,3.0,23.41,-1.31
2026-06-12,49,688419,耐科装备,3.0,57.8,4.94
2026-06-12,50,002669,康达新材,3.0,15.5,-9.99
2026-06-12,51,300283,温州宏丰,3.0,16.48,-3.96
2026-06-12,52,603687,大胜达,3.0,18.38,-3.26
2026-06-12,53,688323,瑞华泰,3.0,43.1,7.35
2026-06-12,54,000670,盈方微,3.0,8.63,-8.39
2026-06-12,55,001269,欧晶科技,3.0,26.9,-5.01
2026-06-12,56,002051,中工国际,3.0,10.56,-9.74
2026-06-12,57,002137,实益达,3.0,9.2,-7.16
2026-06-12,58,002515,金字火腿,3.0,7.53,0.0
2026-06-12,59,002741,光华科技,3.0,29.63,7.24
2026-06-12,60,002747,埃斯顿,3.0,32.22,-3.39
2026-06-12,61,003018,金富科技,3.0,58.5,1.26
2026-06-12,62,300755,华致酒行,3.0,14.87,-2.75
2026-06-12,63,301322,绿通科技,3.0,54.55,-5.56
2026-06-12,64,600110,诺德股份,3.0,12.94,5.89
2026-06-12,65,688207,格灵深瞳,3.0,17.91,-0.89
2026-06-12,66,688711,宏微科技,3.0,34.79,0.46
2026-06-12,67,002046,国机精工,3.0,59.19,2.53
2026-06-12,68,603206,嘉环科技,3.0,18.3,2.75
2026-06-12,69,603500,祥和实业,3.0,12.86,-1.98
2026-06-12,70,603859,能科科技,3.0,51.41,-0.93
2026-06-12,71,688682,霍莱沃,3.0,41.35,-1.57
2026-06-12,72,300162,雷曼光电,3.0,9.95,-6.92
2026-06-12,73,688403,汇成股份,3.0,24.44,-3.02
2026-06-12,74,002072,凯瑞德,3.0,8.5,-3.3
2026-06-12,75,300657,弘信电子,3.0,46.9,6.57
2026-06-12,76,603005,晶方科技,3.0,41.02,-7.01
2026-06-12,77,000032,深桑达Ａ,2.0,18.92,10.0
2026-06-12,78,002457,青龙管业,2.0,12.95,10.03
2026-06-12,79,300234,开尔新材,2.0,10.8,9.76
2026-06-12,80,300566,激智科技,2.0,32.26,11.24
2026-06-12,81,600229,城市传媒,2.0,6.19,9.95
2026-06-12,82,603120,肯特催化,2.0,57.84,10.0
2026-06-12,83,688388,嘉元科技,2.0,57.87,10.97
2026-06-12,84,688772,XD珠海冠,2.0,18.85,15.93
2026-06-12,85,002165,红 宝 丽,2.0,7.73,-3.74
2026-06-12,86,002407,多氟多,2.0,39.67,3.88
2026-06-12,87,002490,山东墨龙,2.0,8.84,3.27
2026-06-12,88,002965,祥鑫科技,2.0,39.58,2.7
2026-06-12,89,300264,佳创视讯,2.0,9.1,-17.05
2026-06-12,90,300401,花园生物,2.0,13.9,5.3
2026-06-12,91,301468,博盈特焊,2.0,50.56,-2.21
2026-06-12,92,600178,东安动力,2.0,10.04,-5.01
2026-06-12,93,601137,博威合金,2.0,24.41,-1.21
2026-06-12,94,603155,新亚强,2.0,22.61,-9.99
2026-06-12,95,603992,松霖科技,2.0,33.19,4.01
2026-06-12,96,688530,欧莱新材,2.0,56.68,-15.48
2026-06-12,97,000029,深深房Ａ,2.0,25.34,-0.47
2026-06-12,98,000970,中科三环,2.0,13.82,-1.5
2026-06-12,99,002125,湘潭电化,2.0,18.06,-1.42
2026-06-12,100,002657,中科金财,2.0,21.55,5.9
2026-06-12,101,002960,青鸟智控,2.0,8.92,0.9
2026-06-12,102,300400,劲拓股份,2.0,39.27,4.89
2026-06-12,103,600206,有研新材,2.0,32.99,-3.65
2026-06-12,104,601678,滨化股份,2.0,5.87,-1.34
2026-06-12,105,603375,盛景微,2.0,49.85,-2.06
2026-06-12,106,603886,元祖股份,2.0,12.52,-4.28
2026-06-12,107,688786,悦安新材,2.0,38.49,-7.25
2026-06-12,108,000920,沃顿科技,2.0,14.4,6.04
2026-06-12,109,002129,TCL中环,2.0,9.98,-1.48
2026-06-12,110,002138,顺络电子,2.0,56.16,0.95
2026-06-12,111,002362,汉王科技,2.0,18.4,-2.18
2026-06-12,112,002575,群兴玩具,2.0,5.97,0.84
2026-06-12,113,300221,银禧科技,2.0,15.33,-4.9
2026-06-12,114,300304,云意电气,2.0,15.37,-0.84
2026-06-12,115,300482,万孚生物,2.0,19.75,4.22
2026-06-12,116,300576,容大感光,2.0,45.2,0.0
2026-06-12,117,300606,金太阳,2.0,38.77,-0.31
2026-06-12,118,300821,东岳硅材,2.0,16.52,-7.55
2026-06-12,119,301222,浙江恒威,2.0,32.79,-3.64
2026-06-12,120,301286,侨源股份,2.0,62.09,-4.08
2026-06-12,121,301428,世纪恒通,2.0,38.15,2.28
2026-06-12,122,600198,大唐电信,2.0,9.19,-2.34
2026-06-12,123,600226,亨通股份,2.0,7.5,0.0
2026-06-12,124,600345,长江通信,2.0,57.47,0.81
2026-06-12,125,603039,泛微网络,2.0,47.61,4.5
2026-06-12,126,603269,海鸥股份,2.0,22.81,7.49
2026-06-12,127,605018,长华集团,2.0,15.65,-5.44
2026-06-12,128,688096,京源环保,2.0,12.79,-7.59
2026-06-12,129,688584,上海合晶,2.0,27.27,-4.92
2026-06-12,130,002361,神剑股份,2.0,15.74,-9.9
2026-06-12,131,301072,中捷精工,2.0,34.35,-1.86
2026-06-12,132,301178,天亿马,2.0,52.4,-0.95
2026-06-12,133,301302,华如科技,2.0,32.3,4.87
2026-06-12,134,600505,西昌电力,2.0,14.65,-1.41
2026-06-12,135,603778,国晟科技,2.0,18.24,-7.88
2026-06-12,136,603877,太平鸟,2.0,13.51,2.89
2026-06-12,137,002903,宇环数控,2.0,45.36,2.02
2026-06-12,138,300319,麦捷科技,2.0,19.58,-5.91
2026-06-12,139,600063,皖维高新,2.0,7.41,-4.39
2026-06-12,140,600516,方大炭素,2.0,5.7,-0.7
2026-06-12,141,603790,雅运股份,2.0,25.12,-3.9
2026-06-12,142,688757,胜科纳米,2.0,42.3,2.0
2026-06-12,143,300042,朗科科技,2.0,59.55,-4.96
2026-06-12,144,601666,平煤股份,2.0,9.18,0.88
2026-06-12,145,002735,王子新材,2.0,18.6,-4.12
2026-06-12,146,300747,锐科激光,2.0,47.96,-1.82
2026-06-12,147,301281,科源制药,2.0,46.43,3.92
2026-06-12,148,300420,五洋自控,2.0,6.28,8.09
2026-06-12,149,605566,福莱蒽特,2.0,45.6,-3.68
2026-06-12,150,603060,国检集团,2.0,7.61,1.6
2026-06-12,151,000859,国风新材,2.0,10.76,-6.52
2026-06-12,152,603608,天创时尚,2.0,26.39,7.93
2026-06-12,153,300163,先锋新材,2.0,6.22,-1.74
2026-06-12,154,300825,阿尔特,2.0,15.25,1.19
2026-06-12,155,600234,科新发展,2.0,24.39,-4.5
2026-06-12,156,688206,概伦电子,2.0,38.35,-4.32
2026-06-12,157,601133,柏诚股份,2.0,29.45,-4.66
2026-06-12,158,605218,伟时电子,2.0,17.02,0.71
