数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-06-01,1,002552,宝鼎科技,10.0,57.93,0.4
2026-06-01,2,600172,黄河旋风,7.0,13.47,-4.33
2026-06-01,3,600396,华电辽能,6.0,18.5,-7.64
2026-06-01,4,603989,艾华集团,5.0,32.23,-10.0
2026-06-01,5,605006,山东玻纤,5.0,16.49,-9.99
2026-06-01,6,000510,新金路,4.0,18.32,10.03
2026-06-01,7,000767,晋控电力,4.0,6.14,10.04
2026-06-01,8,002579,中京电子,4.0,18.87,10.03
2026-06-01,9,002782,可立克,4.0,26.99,-2.63
2026-06-01,10,002951,金时科技,4.0,19.4,9.98
2026-06-01,11,300721,怡达股份,4.0,33.4,-4.57
2026-06-01,12,600234,科新发展,4.0,25.66,-1.76
2026-06-01,13,600539,狮头股份,4.0,16.02,10.03
2026-06-01,14,603011,合锻智能,4.0,27.41,9.99
2026-06-01,15,603303,得邦照明,4.0,26.16,-9.1
2026-06-01,16,603663,三祥新材,4.0,59.53,1.12
2026-06-01,17,603890,春秋电子,4.0,27.29,10.0
2026-06-01,18,603936,博敏电子,4.0,22.36,-6.76
2026-06-01,19,000601,韶能股份,3.0,8.17,-3.43
2026-06-01,20,001210,金房能源,3.0,33.51,10.01
2026-06-01,21,002030,达安基因,3.0,6.71,-5.23
2026-06-01,22,002181,粤 传 媒,3.0,18.16,9.99
2026-06-01,23,002251,步步高,3.0,5.0,2.46
2026-06-01,24,002585,双星新材,3.0,10.57,3.32
2026-06-01,25,002806,华锋股份,3.0,18.48,-0.05
2026-06-01,26,002927,泰永长征,3.0,23.44,-3.54
2026-06-01,27,002957,科瑞技术,3.0,60.63,-2.27
2026-06-01,28,002995,天地在线,3.0,25.11,9.99
2026-06-01,29,300069,金利华电,3.0,48.25,-2.64
2026-06-01,30,300174,元力股份,3.0,27.39,1.26
2026-06-01,31,300179,四方达,3.0,44.85,-0.88
2026-06-01,32,300626,华瑞股份,3.0,34.05,-4.06
2026-06-01,33,301188,力诺药包,3.0,44.22,4.64
2026-06-01,34,600367,红星发展,3.0,35.31,10.0
2026-06-01,35,600545,卓郎智能,3.0,7.42,-5.84
2026-06-01,36,600719,大连热电,3.0,9.72,0.83
2026-06-01,37,600857,宁波中百,3.0,15.72,1.68
2026-06-01,38,603031,安孚科技,3.0,58.0,-3.49
2026-06-01,39,603311,金海高科,3.0,31.0,2.79
2026-06-01,40,603324,盛剑科技,3.0,32.87,-4.14
2026-06-01,41,603353,和顺石油,3.0,47.12,-7.59
2026-06-01,42,603661,恒林股份,3.0,31.39,0.48
2026-06-01,43,603678,火炬电子,3.0,53.28,9.99
2026-06-01,44,603823,百合花,3.0,28.07,9.99
2026-06-01,45,605566,福莱蒽特,3.0,41.75,10.01
2026-06-01,46,605580,恒盛能源,3.0,26.96,-10.01
2026-06-01,47,000037,深南电A,2.0,12.65,10.0
2026-06-01,48,000600,建投能源,2.0,12.21,-2.71
2026-06-01,49,000759,中百集团,2.0,5.98,-2.13
2026-06-01,50,000791,甘肃能源,2.0,9.63,-2.13
2026-06-01,51,000962,东方钽业,2.0,55.31,-7.29
2026-06-01,52,001269,欧晶科技,2.0,26.08,1.2
2026-06-01,53,001896,豫能控股,2.0,17.65,7.82
2026-06-01,54,002012,凯恩股份,2.0,7.55,-3.45
2026-06-01,55,002036,联创电子,2.0,9.52,3.37
2026-06-01,56,002056,横店东磁,2.0,24.33,-3.49
2026-06-01,57,002121,科陆电子,2.0,7.88,-4.83
2026-06-01,58,002245,蔚蓝锂芯,2.0,20.28,-1.93
2026-06-01,59,002348,高乐股份,2.0,14.7,-4.36
2026-06-01,60,002606,大连电瓷,2.0,17.62,7.18
2026-06-01,61,002608,江苏国信,2.0,10.12,10.0
2026-06-01,62,002645,华宏科技,2.0,28.59,-2.99
2026-06-01,63,002655,共达电声,2.0,37.82,-6.66
2026-06-01,64,002733,雄韬股份,2.0,29.98,-10.0
2026-06-01,65,002741,光华科技,2.0,27.35,-5.23
2026-06-01,66,002771,真视通,2.0,17.78,1.72
2026-06-01,67,002881,美格智能,2.0,46.0,1.23
2026-06-01,68,002976,瑞玛精密,2.0,35.79,-2.32
2026-06-01,69,002993,奥海科技,2.0,60.02,-7.29
2026-06-01,70,300184,力源信息,2.0,15.86,-3.82
2026-06-01,71,300286,安科瑞,2.0,31.25,-2.04
2026-06-01,72,300410,正业科技,2.0,11.75,-2.33
2026-06-01,73,300420,五洋自控,2.0,5.02,11.8
2026-06-01,74,300593,新雷能,2.0,35.2,-0.54
2026-06-01,75,300679,电连技术,2.0,53.81,-3.86
2026-06-01,76,300715,凯伦股份,2.0,21.76,1.82
2026-06-01,77,300825,阿尔特,2.0,13.88,5.07
2026-06-01,78,300907,康平科技,2.0,40.3,-6.32
2026-06-01,79,300975,商络电子,2.0,38.51,7.54
2026-06-01,80,300976,达瑞电子,2.0,59.55,-5.89
2026-06-01,81,301013,利和兴,2.0,46.3,4.42
2026-06-01,82,301081,严牌股份,2.0,19.62,-0.81
2026-06-01,83,301111,粤万年青,2.0,26.9,-1.14
2026-06-01,84,301176,逸豪新材,2.0,43.19,-6.6
2026-06-01,85,301313,凡拓数创,2.0,47.8,1.06
2026-06-01,86,301439,泓淋电力,2.0,23.48,19.98
2026-06-01,87,301591,肯特股份,2.0,49.2,3.67
2026-06-01,88,600110,诺德股份,2.0,12.37,-2.29
2026-06-01,89,600246,万通发展,2.0,15.84,-2.04
2026-06-01,90,600301,华锡有色,2.0,60.5,10.0
2026-06-01,91,600310,广西能源,2.0,5.84,-2.34
2026-06-01,92,600330,天通股份,2.0,30.6,-6.51
2026-06-01,93,600520,三佳科技,2.0,30.22,-3.2
2026-06-01,94,600596,新安股份,2.0,13.26,10.04
2026-06-01,95,600714,金瑞矿业,2.0,29.71,1.19
2026-06-01,96,600850,电科数字,2.0,25.59,5.18
2026-06-01,97,600982,宁波能源,2.0,6.67,1.21
2026-06-01,98,600992,贵绳股份,2.0,13.18,-0.15
2026-06-01,99,600996,贵广网络,2.0,9.44,2.05
2026-06-01,100,601101,昊华能源,2.0,13.27,10.03
2026-06-01,101,601208,东材科技,2.0,47.79,-4.42
2026-06-01,102,603001,奥康国际,2.0,9.94,-1.68
2026-06-01,103,603005,晶方科技,2.0,37.73,-8.07
2026-06-01,104,603032,德新科技,2.0,24.95,-1.69
2026-06-01,105,603070,万控智造,2.0,16.95,-1.63
2026-06-01,106,603439,三力制药,2.0,16.51,1.41
2026-06-01,107,603601,再升科技,2.0,19.06,-10.01
2026-06-01,108,603608,天创时尚,2.0,18.96,0.74
2026-06-01,109,603919,金徽酒,2.0,21.61,0.7
2026-06-01,110,605055,迎丰股份,2.0,12.96,-10.0
2026-06-01,111,605086,龙高股份,2.0,32.21,3.57
2026-06-01,112,605198,安德利,2.0,57.88,2.03
2026-06-01,113,605358,立昂微,2.0,56.1,1.3
2026-06-01,114,688096,京源环保,2.0,13.11,9.71
2026-06-01,115,688206,概伦电子,2.0,36.2,-5.66
2026-06-01,116,688352,颀中科技,2.0,21.62,10.99
2026-06-01,117,688362,甬矽电子,2.0,59.66,-6.85
2026-06-01,118,688403,汇成股份,2.0,19.74,-6.45
2026-06-01,119,688478,晶升股份,2.0,62.56,-5.38
2026-06-01,120,688711,宏微科技,2.0,32.97,-2.74
