数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-06-08,1,002421,达实智能,10.0,5.73,9.98
2026-06-08,2,002552,宝鼎科技,6.0,60.66,4.01
2026-06-08,3,600367,红星发展,6.0,52.83,6.73
2026-06-08,4,600403,大有能源,6.0,8.95,9.95
2026-06-08,5,002579,中京电子,5.0,16.82,-10.01
2026-06-08,6,002613,北玻股份,5.0,5.46,10.08
2026-06-08,7,002806,华锋股份,5.0,19.25,-2.68
2026-06-08,8,002951,金时科技,5.0,20.08,-10.0
2026-06-08,9,603938,三孚股份,5.0,52.17,-1.23
2026-06-08,10,000510,新金路,4.0,16.78,-9.3
2026-06-08,11,000539,粤电力Ａ,4.0,7.78,-5.7
2026-06-08,12,001896,豫能控股,4.0,19.6,-1.41
2026-06-08,13,002254,泰和新材,4.0,17.08,9.98
2026-06-08,14,002585,双星新材,4.0,11.09,-6.18
2026-06-08,15,002957,科瑞技术,4.0,54.18,-10.0
2026-06-08,16,002971,和远气体,4.0,39.63,0.84
2026-06-08,17,300302,同有科技,4.0,48.46,-8.58
2026-06-08,18,600172,黄河旋风,4.0,12.56,-6.48
2026-06-08,19,600936,北投科技,4.0,5.58,-6.69
2026-06-08,20,603011,合锻智能,4.0,29.67,-9.27
2026-06-08,21,603135,中重科技,4.0,15.43,9.98
2026-06-08,22,603311,金海高科,4.0,36.83,-10.0
2026-06-08,23,603330,天洋新材,4.0,7.75,-9.99
2026-06-08,24,603678,火炬电子,4.0,56.68,-10.0
2026-06-08,25,603823,百合花,4.0,32.58,9.99
2026-06-08,26,603890,春秋电子,4.0,28.12,-9.99
2026-06-08,27,688549,中巨芯,4.0,19.19,20.01
2026-06-08,28,000608,阳光股份,3.0,5.82,5.43
2026-06-08,29,001210,金房能源,3.0,23.01,-7.7
2026-06-08,30,002046,国机精工,3.0,60.37,10.0
2026-06-08,31,002072,凯瑞德,3.0,8.61,-5.28
2026-06-08,32,002645,华宏科技,3.0,31.43,0.83
2026-06-08,33,002787,华源控股,3.0,26.58,-4.46
2026-06-08,34,002995,天地在线,3.0,21.4,-4.85
2026-06-08,35,300174,元力股份,3.0,23.37,-9.87
2026-06-08,36,300179,四方达,3.0,45.0,-5.26
2026-06-08,37,300184,力源信息,3.0,15.64,-8.0
2026-06-08,38,300715,凯伦股份,3.0,23.48,-7.92
2026-06-08,39,300907,康平科技,3.0,50.35,-5.02
2026-06-08,40,300975,商络电子,3.0,41.6,-7.14
2026-06-08,41,301013,利和兴,3.0,50.81,-9.64
2026-06-08,42,301188,力诺药包,3.0,52.46,-4.08
2026-06-08,43,301458,钧崴电子,3.0,57.0,-10.26
2026-06-08,44,600121,郑州煤电,3.0,5.25,0.57
2026-06-08,45,600246,万通发展,3.0,16.45,-5.41
2026-06-08,46,600301,华锡有色,3.0,54.89,-8.59
2026-06-08,47,600310,广西能源,3.0,5.2,-8.13
2026-06-08,48,600353,旭光电子,3.0,24.55,-6.65
2026-06-08,49,600360,华微电子,3.0,11.77,-9.46
2026-06-08,50,600396,华电辽能,3.0,19.3,-3.55
2026-06-08,51,600596,新安股份,3.0,13.58,-5.76
2026-06-08,52,600714,金瑞矿业,3.0,30.01,-8.78
2026-06-08,53,603005,晶方科技,3.0,45.15,-1.42
2026-06-08,54,603303,得邦照明,3.0,26.7,-2.73
2026-06-08,55,603324,盛剑科技,3.0,28.86,-4.37
2026-06-08,56,603500,祥和实业,3.0,13.45,9.98
2026-06-08,57,603661,恒林股份,3.0,32.99,-4.87
2026-06-08,58,688079,美迪凯,3.0,28.49,-8.39
2026-06-08,59,000037,深南电A,2.0,10.35,-5.48
2026-06-08,60,000600,建投能源,2.0,10.75,-6.36
2026-06-08,61,000601,韶能股份,2.0,7.56,-5.14
2026-06-08,62,000700,模塑科技,2.0,16.51,-4.51
2026-06-08,63,001223,欧克科技,2.0,45.16,-2.8
2026-06-08,64,001269,欧晶科技,2.0,25.83,-5.04
2026-06-08,65,002051,中工国际,2.0,11.12,-5.52
2026-06-08,66,002056,横店东磁,2.0,26.5,-9.12
2026-06-08,67,002081,金 螳 螂,2.0,5.43,-6.06
2026-06-08,68,002137,实益达,2.0,9.81,-5.22
2026-06-08,69,002348,高乐股份,2.0,12.9,-3.52
2026-06-08,70,002361,神剑股份,2.0,18.49,9.99
2026-06-08,71,002395,双象股份,2.0,14.55,-7.21
2026-06-08,72,002404,嘉欣丝绸,2.0,6.78,-6.09
2026-06-08,73,002515,金字火腿,2.0,6.69,0.15
2026-06-08,74,002608,江苏国信,2.0,9.56,-2.75
2026-06-08,75,002735,王子新材,2.0,18.59,3.11
2026-06-08,76,002747,埃斯顿,2.0,34.12,9.99
2026-06-08,77,002871,伟隆股份,2.0,19.62,-5.9
2026-06-08,78,002903,宇环数控,2.0,48.16,0.52
2026-06-08,79,003009,中天火箭,2.0,60.94,10.0
2026-06-08,80,300163,先锋新材,2.0,6.44,0.47
2026-06-08,81,300319,麦捷科技,2.0,23.14,3.86
2026-06-08,82,300328,宜安科技,2.0,20.64,-6.69
2026-06-08,83,300334,津膜科技,2.0,9.94,10.32
2026-06-08,84,300410,正业科技,2.0,11.33,-5.66
2026-06-08,85,300420,五洋自控,2.0,6.36,4.78
2026-06-08,86,300486,东杰智能,2.0,26.68,-5.22
2026-06-08,87,300508,维宏股份,2.0,50.4,12.37
2026-06-08,88,300747,锐科激光,2.0,43.16,-6.84
2026-06-08,89,300825,阿尔特,2.0,14.77,5.58
2026-06-08,90,300897,山科智能,2.0,17.85,-10.66
2026-06-08,91,301067,显盈科技,2.0,33.65,-6.66
2026-06-08,92,301115,联检科技,2.0,32.66,-4.19
2026-06-08,93,301218,华是科技,2.0,40.68,-3.99
2026-06-08,94,301281,科源制药,2.0,45.54,4.69
2026-06-08,95,301286,侨源股份,2.0,58.31,-6.0
2026-06-08,96,301329,信音电子,2.0,26.18,-11.58
2026-06-08,97,301419,阿莱德,2.0,41.03,-12.85
2026-06-08,98,301439,泓淋电力,2.0,18.23,-9.53
2026-06-08,99,301566,达利凯普,2.0,32.81,-11.99
2026-06-08,100,301591,肯特股份,2.0,43.2,-9.43
2026-06-08,101,600032,浙江新能,2.0,9.48,-7.87
2026-06-08,102,600063,皖维高新,2.0,7.7,-6.33
2026-06-08,103,600237,铜峰电子,2.0,11.2,-7.21
2026-06-08,104,600382,广东明珠,2.0,8.71,-10.02
2026-06-08,105,600459,贵研铂业,2.0,23.85,-3.64
2026-06-08,106,600488,津药药业,2.0,5.69,10.06
2026-06-08,107,600500,中化国际,2.0,5.41,-5.09
2026-06-08,108,600505,西昌电力,2.0,14.92,10.03
2026-06-08,109,600516,方大炭素,2.0,6.1,4.63
2026-06-08,110,600667,太极实业,2.0,14.94,-7.49
2026-06-08,111,600857,宁波中百,2.0,14.65,-4.81
2026-06-08,112,601101,昊华能源,2.0,13.48,-0.37
2026-06-08,113,601666,平煤股份,2.0,9.75,0.83
2026-06-08,114,603001,奥康国际,2.0,10.21,-3.68
2026-06-08,115,603031,安孚科技,2.0,54.34,-5.53
2026-06-08,116,603060,国检集团,2.0,7.3,1.11
2026-06-08,117,603065,宿迁联盛,2.0,9.45,-1.05
2026-06-08,118,603078,江化微,2.0,42.84,3.08
2026-06-08,119,603278,大业股份,2.0,14.14,10.04
2026-06-08,120,603333,尚纬股份,2.0,8.55,-2.73
2026-06-08,121,603344,星德胜,2.0,29.62,-4.7
2026-06-08,122,603439,三力制药,2.0,16.1,-5.29
2026-06-08,123,603608,天创时尚,2.0,21.35,3.19
2026-06-08,124,603610,麒盛科技,2.0,17.36,-7.76
2026-06-08,125,603618,杭电股份,2.0,39.3,-5.78
2026-06-08,126,603687,大胜达,2.0,18.24,-2.46
2026-06-08,127,603725,天安新材,2.0,12.69,-1.17
2026-06-08,128,603778,国晟科技,2.0,18.95,9.98
2026-06-08,129,603859,能科科技,2.0,49.78,9.79
2026-06-08,130,603877,太平鸟,2.0,14.06,10.02
2026-06-08,131,603903,中持股份,2.0,11.97,-3.16
2026-06-08,132,605162,新中港,2.0,11.07,-10.0
2026-06-08,133,605303,园林股份,2.0,27.32,-4.64
2026-06-08,134,605398,新炬网络,2.0,24.86,1.68
2026-06-08,135,605566,福莱蒽特,2.0,42.97,-0.09
2026-06-08,136,688056,莱伯泰科,2.0,46.29,-3.88
2026-06-08,137,688352,颀中科技,2.0,18.73,-4.73
