数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-06-10,1,002421,达实智能,9.0,5.43,-4.74
2026-06-10,2,002552,宝鼎科技,6.0,59.3,-8.71
2026-06-10,3,002585,双星新材,6.0,13.42,10.0
2026-06-10,4,600367,红星发展,6.0,58.88,5.99
2026-06-10,5,600403,大有能源,6.0,7.65,-5.09
2026-06-10,6,603938,三孚股份,6.0,59.98,9.99
2026-06-10,7,001896,豫能控股,5.0,21.17,-1.81
2026-06-10,8,002354,天娱数科,5.0,8.87,10.05
2026-06-10,9,002806,华锋股份,5.0,18.7,-3.16
2026-06-10,10,002951,金时科技,5.0,16.27,-10.01
2026-06-10,11,603011,合锻智能,5.0,31.9,10.0
2026-06-10,12,603330,天洋新材,5.0,9.0,5.51
2026-06-10,13,603823,百合花,5.0,38.81,10.01
2026-06-10,14,688549,中巨芯,5.0,25.05,10.55
2026-06-10,15,000608,阳光股份,4.0,6.94,8.44
2026-06-10,16,002254,泰和新材,4.0,17.2,-8.46
2026-06-10,17,002971,和远气体,4.0,47.95,10.0
2026-06-10,18,300302,同有科技,4.0,46.58,-4.55
2026-06-10,19,301013,利和兴,4.0,61.9,1.53
2026-06-10,20,600186,莲花控股,4.0,11.62,0.69
2026-06-10,21,600396,华电辽能,4.0,19.11,-9.99
2026-06-10,22,600500,中化国际,4.0,6.55,10.08
2026-06-10,23,600596,新安股份,4.0,14.93,-0.07
2026-06-10,24,603065,宿迁联盛,4.0,11.44,10.0
2026-06-10,25,603135,中重科技,4.0,14.22,-10.0
2026-06-10,26,603303,得邦照明,4.0,30.02,2.21
2026-06-10,27,603311,金海高科,4.0,38.53,0.05
2026-06-10,28,603661,恒林股份,4.0,36.75,10.0
2026-06-10,29,603678,火炬电子,4.0,56.28,-5.6
2026-06-10,30,603890,春秋电子,4.0,23.6,-7.2
2026-06-10,31,605006,山东玻纤,4.0,21.07,10.03
2026-06-10,32,688056,莱伯泰科,4.0,61.1,17.5
2026-06-10,33,000048,京基智农,3.0,17.83,9.99
2026-06-10,34,000670,盈方微,3.0,9.69,-3.49
2026-06-10,35,001269,欧晶科技,3.0,29.2,2.78
2026-06-10,36,002046,国机精工,3.0,59.18,-9.0
2026-06-10,37,002051,中工国际,3.0,12.03,-1.64
2026-06-10,38,002072,凯瑞德,3.0,8.73,0.11
2026-06-10,39,002137,实益达,3.0,10.7,-0.83
2026-06-10,40,002515,金字火腿,3.0,7.42,0.82
2026-06-10,41,002645,华宏科技,3.0,31.7,-3.35
2026-06-10,42,002669,康达新材,3.0,19.13,10.01
2026-06-10,43,002733,雄韬股份,3.0,32.06,-9.99
2026-06-10,44,002747,埃斯顿,3.0,35.8,-4.61
2026-06-10,45,002787,华源控股,3.0,27.15,-0.91
2026-06-10,46,300334,津膜科技,3.0,11.38,9.95
2026-06-10,47,300626,华瑞股份,3.0,37.02,1.26
2026-06-10,48,300657,弘信电子,3.0,43.36,-5.8
2026-06-10,49,300907,康平科技,3.0,49.06,-2.0
2026-06-10,50,300975,商络电子,3.0,39.78,-12.51
2026-06-10,51,301188,力诺药包,3.0,49.96,-6.44
2026-06-10,52,301458,钧崴电子,3.0,51.53,-9.05
2026-06-10,53,600246,万通发展,3.0,16.63,-0.72
2026-06-10,54,600353,旭光电子,3.0,27.22,4.33
2026-06-10,55,600360,华微电子,3.0,11.75,-5.7
2026-06-10,56,600714,金瑞矿业,3.0,28.82,0.73
2026-06-10,57,603005,晶方科技,3.0,44.88,-4.08
2026-06-10,58,603500,祥和实业,3.0,12.64,-5.46
2026-06-10,59,603687,大胜达,3.0,19.18,9.98
2026-06-10,60,605589,圣泉集团,3.0,60.1,9.99
2026-06-10,61,688079,美迪凯,3.0,24.85,-11.12
2026-06-10,62,688207,格灵深瞳,3.0,19.14,-8.55
